split,label,precision,recall,f1,support
loc,LOC,0.9746906636670416,0.9569298729983434,0.9657286152131512,1811
loc,MISC,0.8830297219558965,0.8664158043273753,0.8746438746438746,1063
loc,ORG,0.9037520391517129,0.9400452488687783,0.9215414471860272,1768
loc,PER,0.9826043737574552,0.9782285997031173,0.9804116042648153,2021
reverse,LOC,0.8916500994035785,0.9112766677954622,0.9013565566906716,2953
reverse,MISC,0.9324546952224053,0.7239703248912766,0.8150921658986175,3909
reverse,ORG,0.7406896551724138,0.9065841305571187,0.8152834008097166,1777
reverse,PER,0.9539810080350621,0.9871504157218443,0.9702823179791976,2646
semantic,LOC,0.9740034662045061,0.9802325581395349,0.9771080846131557,1720
semantic,MISC,0.7997118155619597,0.7676348547717843,0.7833450952717008,723
semantic,ORG,0.9821063394683026,0.9761178861788617,0.9791029561671762,1968
semantic,PER,0.9660493827160493,0.9750778816199377,0.9705426356589147,321
heur_len,LOC,0.965897166841553,0.9745897300158815,0.9702239789196311,1889
heur_len,MISC,0.902135231316726,0.9151624548736462,0.9086021505376344,1108
heur_len,ORG,0.9567762269248087,0.9520609318996416,0.954412755445767,2232
heur_len,PER,0.9884653961885657,0.9874749498997996,0.98796992481203,1996
heur_rare,LOC,0.9626966292134832,0.9588182632050134,0.9607535321821037,2234
heur_rare,MISC,0.9022191400832178,0.8880546075085324,0.8950808393532852,1465
heur_rare,ORG,0.9093484419263456,0.9277456647398844,0.9184549356223175,2076
heur_rare,PER,0.9765355417529331,0.9853760445682451,0.9809358752166378,2872
std,LOC,0.9253314724354501,0.9384288747346072,0.9318341531974702,1413
std,MISC,0.8206896551724138,0.8793103448275862,0.8489892984542211,812
std,ORG,0.905888538380652,0.9025667888947093,0.904224612962477,1909
std,PER,0.9640831758034026,0.961659333752357,0.9628697293895532,1591
std,LOC,0.9253314724354501,0.9384288747346072,0.9318341531974702,1413
std,MISC,0.8206896551724138,0.8793103448275862,0.8489892984542211,812
std,ORG,0.905888538380652,0.9025667888947093,0.904224612962477,1909
std,PER,0.9640831758034026,0.961659333752357,0.9628697293895532,1591
