split,label,precision,recall,f1,support
loc,EXICON,0.8964285714285715,0.9227941176470589,0.9094202898550725,272
loc,HRONOSTRAT,0.9538461538461539,0.9480122324159022,0.9509202453987731,327
loc,IOZONE,1.0,0.5,0.6666666666666666,4
reverse,EXICON,0.9639293937068304,0.9429429429429429,0.9533206831119544,1332
reverse,HRONOSTRAT,0.9693877551020408,0.9531772575250836,0.9612141652613828,299
reverse,IOZONE,1.0,0.3333333333333333,0.5,9
semantic,EXICON,0.9515151515151515,0.9771784232365145,0.9641760491299898,482
semantic,HRONOSTRAT,0.9331210191082803,0.9575163398692811,0.9451612903225807,306
heur_len,EXICON,0.9549718574108818,0.9695238095238096,0.9621928166351607,525
heur_len,HRONOSTRAT,0.9461077844311377,0.9844236760124611,0.9648854961832062,321
heur_len,IOZONE,1.0,0.16666666666666666,0.2857142857142857,6
heur_rare,EXICON,0.9345794392523364,0.9652509652509652,0.949667616334283,518
heur_rare,HRONOSTRAT,0.9646017699115044,0.9849397590361446,0.9746646795827123,332
heur_rare,IOZONE,1.0,0.5,0.6666666666666666,2
std,EXICON,0.9080717488789237,0.9462616822429907,0.9267734553775744,428
std,HRONOSTRAT,0.9857142857142858,0.9324324324324325,0.9583333333333333,74
advs,EXICON,0.9558823529411765,0.9766277128547579,0.9661436829066887,599
advs,HRONOSTRAT,0.9489795918367347,0.96875,0.9587628865979382,96
