split,space,a,b,cosine_distance
standard,labels,train,val,1.254248249216161e-05
standard,labels,train,test,7.076724381938071e-05
standard,labels,val,test,0.0001325583406298625
standard,words,train,val,0.056486198814876154
standard,words,train,test,0.05633687889327643
standard,words,val,test,0.08942172422298311
heur_len,labels,train,val,1.5507727686991934e-05
heur_len,labels,train,test,1.4045124892225758e-05
heur_len,labels,val,test,5.75963232831711e-05
heur_len,words,train,val,0.058031181639774276
heur_len,words,train,test,0.033687346043571376
heur_len,words,val,test,0.07067053008596069
heur_rare,labels,train,val,6.291024602456119e-05
heur_rare,labels,train,test,0.00016364235816057615
heur_rare,labels,val,test,2.3705416063557472e-05
heur_rare,words,train,val,0.04691652736272511
heur_rare,words,train,test,0.03836889738541882
heur_rare,words,val,test,0.06947431966820683
adversarial,labels,train,val,2.9821877545188613e-06
adversarial,labels,train,test,0.0002886112491737869
adversarial,labels,val,test,0.0003322030362072903
adversarial,words,train,val,0.04989889482929788
adversarial,words,train,test,0.24081912933147753
adversarial,words,val,test,0.2648079136099424
loc,labels,train,val,0.0007949921288981088
loc,labels,train,test,0.0011473316391215072
loc,labels,val,test,3.312640501207387e-05
loc,words,train,val,0.12112880761309464
loc,words,train,test,0.1844376754062983
loc,words,val,test,0.15737117649728605
semantic,labels,train,val,0.0011052024835132013
semantic,labels,train,test,6.49298570241097e-05
semantic,labels,val,test,0.0006353309868862844
semantic,words,train,val,0.23335363493129568
semantic,words,train,test,0.19638422906400654
semantic,words,val,test,0.3226335799578768
reverse,labels,train,val,0.0013157008514871338
reverse,labels,train,test,0.006572754232055389
reverse,labels,val,test,0.0020107798699532387
reverse,words,train,val,0.07368051689733623
reverse,words,train,test,0.10202487376116376
reverse,words,val,test,0.06771527705325353
