split_name,label,test_count,train_count,val_count,test_prop,train_prop,val_prop
adversarial,BIOZONE,0,13,4,0.0,0.0002133105802047,0.0004597701149425
adversarial,CHRONOSTRAT,116,1390,217,0.0068011257035647,0.0228078235757416,0.0249425287356321
adversarial,LEXICON,1503,4459,636,0.0881214821763602,0.0731655290102389,0.073103448275862
adversarial,O,15437,55082,7843,0.9050773921200752,0.9038133368338146,0.9014942528735632
heur_len,BIOZONE,6,9,2,0.0003512263653924,0.0001482018179423,0.0002249971875351
heur_len,CHRONOSTRAT,355,1191,177,0.0207808932857226,0.0196120405743643,0.0199122510968612
heur_len,LEXICON,1231,4646,721,0.0720599426330269,0.0765050717955473,0.0811114861064236
heur_len,O,15491,54882,7989,0.906807937715858,0.903734685812146,0.8987512656091798
heur_rare,BIOZONE,2,12,3,0.0001041232819658,0.0002033519174391,0.0003537318712415
heur_rare,CHRONOSTRAT,372,1183,168,0.0193669304456476,0.0200471098608733,0.0198089847895295
heur_rare,LEXICON,1252,4744,602,0.0651811745106205,0.0803917913609327,0.0709821954958141
heur_rare,O,17582,53072,7708,0.915347771761766,0.8993577468607548,0.9088550878434148
loc,BIOZONE,4,13,0,0.0003123291949714,0.0001975533774029,0.0
loc,CHRONOSTRAT,359,1160,204,0.0280315452486921,0.0176278398298001,0.0252225519287833
loc,LEXICON,571,5611,416,0.0445849925821816,0.0852670769698351,0.0514342235410484
loc,O,11873,59021,7468,0.9270711329741548,0.8969075298229617,0.923343224530168
reverse,BIOZONE,9,6,2,0.0003714403631861,0.0001151587271122,0.0001929012345679
reverse,CHRONOSTRAT,375,1158,190,0.0154766817994222,0.0222256343326551,0.0183256172839506
reverse,LEXICON,3356,2323,919,0.1385059843169624,0.0445856205136079,0.0886381172839506
reverse,O,20490,48615,9257,0.8456458935204292,0.9330735864266247,0.8928433641975309
semantic,BIOZONE,0,17,0,0.0,0.000278300728493,0.0
semantic,CHRONOSTRAT,335,1140,248,0.0202087229293599,0.0186625194401244,0.027439699048462
semantic,LEXICON,1203,5017,378,0.0725704289075224,0.0821314561676352,0.0418234122593494
semantic,O,15039,54911,8412,0.9072208481631177,0.8989277236637473,0.9307368886921884
standard,BIOZONE,2,9,6,0.000228154232261,0.0001293940047444,0.0007160759040458
standard,CHRONOSTRAT,199,1385,139,0.0227013461099703,0.0199122996190065,0.0165890917770617
standard,LEXICON,586,5343,669,0.0668491900524754,0.0768169074832866,0.0798424633011099
standard,O,7979,62818,7565,0.9102213096052932,0.9031413988929624,0.9028523690177824
