split,label,count,prop
train,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,179,0.0013870915247932924
train,I-GRADUACAO_ALCOOLICA,170,0.0013173494928204453
train,B-VOLUME,1804,0.01397940285322402
train,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,25,0.00019372786659124195
train,B-GRADUACAO_ALCOOLICA,805,0.006238037304237991
train,B-CARACTERISTICA_SENSORIAL_SABOR,620,0.0048044510914628
train,B-TIPO_MADEIRA,1782,0.013808922330623726
train,I-NOME_LOCAL,1465,0.011352452982246778
train,I-TIPO_MADEIRA,340,0.0026346989856408905
train,I-TEMPO,206,0.0015963176207118336
train,B-CARACTERISTICA_SENSORIAL_AROMA,624,0.004835447550117399
train,I-PRECO,1761,0.013646190922687084
train,B-PRECO,621,0.00481220020612645
train,I-CARACTERISTICA_SENSORIAL_AROMA,344,0.0026656954442954893
train,B-TEMPO_ARMAZENAMENTO,843,0.006532503661456679
train,B-CLASSIFICACAO_BEBIDA,944,0.0073151642424852965
train,I-CLASSIFICACAO_BEBIDA,163,0.0012631056901748975
train,B-NOME_BEBIDA,2221,0.017210783667965936
train,B-TEMPO,864,0.006695235069393322
train,B-RECIPIENTE_ARMAZENAMENTO,699,0.0054166311498911246
train,O,101785,0.7887436360395825
train,I-TEMPO_ARMAZENAMENTO,943,0.007307415127821647
train,B-EQUIPAMENTO_DESTILACAO,202,0.001565321162057235
train,B-CARACTERISTICA_SENSORIAL_COR,383,0.0029679109161778266
train,I-CARACTERISTICA_SENSORIAL_COR,186,0.0014413353274388401
train,I-CARACTERISTICA_SENSORIAL_SABOR,279,0.00216200299115826
train,B-NOME_PESSOA,516,0.0039985431664432336
train,I-RECIPIENTE_ARMAZENAMENTO,283,0.002192999449812859
train,B-NOME_ORGANIZACAO,640,0.004959433384735794
train,I-EQUIPAMENTO_DESTILACAO,213,0.0016505614233573813
train,I-VOLUME,901,0.00698195231194836
train,I-NOME_BEBIDA,1869,0.014483095306361249
train,I-NOME_PESSOA,504,0.0039055537904794375
train,I-NOME_ORGANIZACAO,962,0.00745464830643099
train,B-NOME_LOCAL,2901,0.022480181639247716
val,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,28,0.0015976263836585643
val,I-GRADUACAO_ALCOOLICA,25,0.0014264521282665755
val,B-VOLUME,270,0.015405682985279013
val,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,2,0.00011411617026132602
val,B-GRADUACAO_ALCOOLICA,121,0.006904028300810225
val,B-CARACTERISTICA_SENSORIAL_SABOR,96,0.005477576172543649
val,B-TIPO_MADEIRA,242,0.01380805660162045
val,I-NOME_LOCAL,182,0.01038457149378067
val,I-TIPO_MADEIRA,49,0.0027958461714024875
val,I-TEMPO,26,0.0014835102133972384
val,B-CARACTERISTICA_SENSORIAL_AROMA,73,0.0041652402145384
val,I-PRECO,250,0.014264521282665754
val,B-PRECO,87,0.004964053406367682
val,I-CARACTERISTICA_SENSORIAL_AROMA,38,0.0021682072349651946
val,B-TEMPO_ARMAZENAMENTO,109,0.006219331279242269
val,B-CLASSIFICACAO_BEBIDA,131,0.007474609152116855
val,I-CLASSIFICACAO_BEBIDA,18,0.0010270455323519343
val,B-NOME_BEBIDA,291,0.016603902773022938
val,B-TEMPO,144,0.008216364258815475
val,B-RECIPIENTE_ARMAZENAMENTO,84,0.004792879150975694
val,O,13693,0.7812963596941687
val,I-TEMPO_ARMAZENAMENTO,114,0.006504621704895584
val,B-EQUIPAMENTO_DESTILACAO,26,0.0014835102133972384
val,B-CARACTERISTICA_SENSORIAL_COR,56,0.0031952527673171287
val,I-CARACTERISTICA_SENSORIAL_COR,33,0.0018829168093118796
val,I-CARACTERISTICA_SENSORIAL_SABOR,48,0.0027387880862718246
val,B-NOME_PESSOA,79,0.004507588725322378
val,I-RECIPIENTE_ARMAZENAMENTO,32,0.0018258587241812164
val,B-NOME_ORGANIZACAO,91,0.005192285746890335
val,I-EQUIPAMENTO_DESTILACAO,23,0.0013123359580052493
val,I-VOLUME,147,0.008387538514207463
val,I-NOME_BEBIDA,239,0.01363688234622846
val,I-NOME_PESSOA,85,0.004849937236106356
val,I-NOME_ORGANIZACAO,156,0.00890106128038343
