label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,238,624,73
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,71,179,28
B-CARACTERISTICA_SENSORIAL_COR,123,383,56
B-CARACTERISTICA_SENSORIAL_SABOR,190,620,96
B-CLASSIFICACAO_BEBIDA,250,944,131
B-EQUIPAMENTO_DESTILACAO,64,202,26
B-GRADUACAO_ALCOOLICA,218,805,121
B-NOME_BEBIDA,659,2221,291
B-NOME_LOCAL,893,2901,438
B-NOME_ORGANIZACAO,243,640,91
B-NOME_PESSOA,148,516,79
B-PRECO,177,621,87
B-RECIPIENTE_ARMAZENAMENTO,208,699,84
B-TEMPO,294,864,144
B-TEMPO_ARMAZENAMENTO,258,843,109
B-TIPO_MADEIRA,533,1782,242
B-VOLUME,458,1804,270
I-CARACTERISTICA_SENSORIAL_AROMA,141,344,38
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,5,25,2
I-CARACTERISTICA_SENSORIAL_COR,85,186,33
I-CARACTERISTICA_SENSORIAL_SABOR,69,279,48
I-CLASSIFICACAO_BEBIDA,46,163,18
I-EQUIPAMENTO_DESTILACAO,46,213,23
I-GRADUACAO_ALCOOLICA,4,170,25
I-NOME_BEBIDA,605,1869,239
I-NOME_LOCAL,397,1465,182
I-NOME_ORGANIZACAO,280,962,156
I-NOME_PESSOA,121,504,85
I-PRECO,511,1761,250
I-RECIPIENTE_ARMAZENAMENTO,47,283,32
I-TEMPO,79,206,26
I-TEMPO_ARMAZENAMENTO,279,943,114
I-TIPO_MADEIRA,119,340,49
I-VOLUME,260,901,147
O,28327,101785,13693
