label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,0.006530209076441859,0.004835447550117399,0.0041652402145384
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.0019480875816276135,0.0013870915247932924,0.0015976263836585643
B-CARACTERISTICA_SENSORIAL_COR,0.0033748559512703728,0.0029679109161778266,0.0031952527673171287
B-CARACTERISTICA_SENSORIAL_SABOR,0.005213192119848543,0.0048044510914628,0.005477576172543649
B-CLASSIFICACAO_BEBIDA,0.006859463315590188,0.0073151642424852965,0.007474609152116855
B-EQUIPAMENTO_DESTILACAO,0.0017560226087910882,0.001565321162057235,0.0014835102133972384
B-GRADUACAO_ALCOOLICA,0.005981452011194644,0.006238037304237991,0.006904028300810225
B-NOME_BEBIDA,0.018081545299895738,0.017210783667965936,0.016603902773022938
B-NOME_LOCAL,0.024502002963288153,0.022480181639247716,0.0249914412872304
B-NOME_ORGANIZACAO,0.006667398342753663,0.004959433384735794,0.005192285746890335
B-NOME_PESSOA,0.0040608022828293915,0.0039985431664432336,0.004507588725322378
B-PRECO,0.004856500027437853,0.00481220020612645,0.004964053406367682
B-RECIPIENTE_ARMAZENAMENTO,0.005707073478571037,0.0054166311498911246,0.004792879150975694
B-TEMPO,0.008066728859134061,0.006695235069393322,0.008216364258815475
B-TEMPO_ARMAZENAMENTO,0.0070789661416890744,0.006532503661456679,0.006219331279242269
B-TIPO_MADEIRA,0.014624375788838281,0.013808922330623726,0.01380805660162045
B-VOLUME,0.012566536794161224,0.01397940285322402,0.015405682985279013
I-CARACTERISTICA_SENSORIAL_AROMA,0.003868737309992866,0.0026656954442954893,0.0021682072349651946
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.00013718926631180376,0.00019372786659124195,0.00011411617026132602
I-CARACTERISTICA_SENSORIAL_COR,0.0023322175273006638,0.0014413353274388401,0.0018829168093118796
I-CARACTERISTICA_SENSORIAL_SABOR,0.001893211875102892,0.00216200299115826,0.0027387880862718246
I-CLASSIFICACAO_BEBIDA,0.0012621412500685946,0.0012631056901748975,0.0010270455323519343
I-EQUIPAMENTO_DESTILACAO,0.0012621412500685946,0.0016505614233573813,0.0013123359580052493
I-GRADUACAO_ALCOOLICA,0.00010975141304944301,0.0013173494928204453,0.0014264521282665755
I-NOME_BEBIDA,0.016599901223728255,0.014483095306361249,0.01363688234622846
I-NOME_LOCAL,0.01089282774515722,0.011352452982246778,0.01038457149378067
I-NOME_ORGANIZACAO,0.0076825989134610105,0.00745464830643099,0.00890106128038343
I-NOME_PESSOA,0.003319980244745651,0.0039055537904794375,0.004849937236106356
I-PRECO,0.014020743017066345,0.013646190922687084,0.014264521282665754
I-RECIPIENTE_ARMAZENAMENTO,0.0012895791033309555,0.002192999449812859,0.0018258587241812164
I-TEMPO,0.0021675904077264993,0.0015963176207118336,0.0014835102133972384
I-TEMPO_ARMAZENAMENTO,0.0076551610601986505,0.007307415127821647,0.006504621704895584
I-TIPO_MADEIRA,0.0032651045382209296,0.0026346989856408905,0.0027958461714024875
I-VOLUME,0.007133841848213795,0.00698195231194836,0.008387538514207463
O,0.777232069362893,0.7887436360395825,0.7812963596941687
