split,label,count,prop
train,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,195,0.0015306963490929644
train,I-GRADUACAO_ALCOOLICA,136,0.0010675625819315034
train,B-VOLUME,1762,0.013831215215906682
train,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,23,0.00018054367194429835
train,B-GRADUACAO_ALCOOLICA,815,0.006397525766721876
train,B-CARACTERISTICA_SENSORIAL_SABOR,660,0.005180818412314649
train,B-TIPO_MADEIRA,1818,0.014270799808466713
train,I-TIPO_MADEIRA,358,0.0028102015024373396
train,I-NOME_LOCAL,1433,0.011248655734616501
train,I-TEMPO,215,0.0016876908464358324
train,B-CARACTERISTICA_SENSORIAL_AROMA,651,0.005110170888510358
train,I-PRECO,1789,0.014043157787319554
train,B-PRECO,628,0.004929627216566059
train,I-CARACTERISTICA_SENSORIAL_AROMA,371,0.002912247925710204
train,B-TEMPO_ARMAZENAMENTO,884,0.006939156782554771
train,B-CLASSIFICACAO_BEBIDA,918,0.007206047428037647
train,I-CLASSIFICACAO_BEBIDA,147,0.0011539095554700808
train,B-NOME_BEBIDA,2216,0.01739499030558979
train,B-TEMPO,879,0.006899908158219055
train,B-RECIPIENTE_ARMAZENAMENTO,711,0.005581154380538962
train,O,99859,0.7838656755080734
train,I-TEMPO_ARMAZENAMENTO,974,0.007645632020597678
train,B-EQUIPAMENTO_DESTILACAO,202,0.0015856444231629682
train,B-CARACTERISTICA_SENSORIAL_COR,390,0.003061392698185929
train,I-CARACTERISTICA_SENSORIAL_COR,215,0.0016876908464358324
train,I-CARACTERISTICA_SENSORIAL_SABOR,291,0.002284269936338731
train,B-NOME_PESSOA,518,0.004066157481180285
train,I-RECIPIENTE_ARMAZENAMENTO,267,0.0020958765395272896
train,B-NOME_ORGANIZACAO,667,0.005235766486384652
train,I-EQUIPAMENTO_DESTILACAO,193,0.0015149968993586774
train,I-VOLUME,930,0.007300244126443368
train,I-NOME_BEBIDA,1933,0.015173518168188205
train,I-NOME_PESSOA,486,0.0038149662854316956
train,I-NOME_ORGANIZACAO,946,0.007425839724317662
train,B-NOME_LOCAL,2913,0.022866248537988743
val,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,31,0.0016209150326797386
val,I-GRADUACAO_ALCOOLICA,21,0.0010980392156862745
val,B-VOLUME,234,0.01223529411764706
val,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,1,5.22875816993464e-05
val,B-GRADUACAO_ALCOOLICA,121,0.006326797385620915
val,B-CARACTERISTICA_SENSORIAL_SABOR,71,0.003712418300653595
val,B-TIPO_MADEIRA,237,0.012392156862745097
val,I-TIPO_MADEIRA,67,0.0035032679738562092
val,I-NOME_LOCAL,215,0.011241830065359478
val,I-TEMPO,31,0.0016209150326797386
val,B-CARACTERISTICA_SENSORIAL_AROMA,88,0.004601307189542484
val,I-PRECO,228,0.01192156862745098
val,B-PRECO,81,0.0042352941176470585
val,I-CARACTERISTICA_SENSORIAL_AROMA,44,0.002300653594771242
val,B-TEMPO_ARMAZENAMENTO,110,0.005751633986928104
val,B-CLASSIFICACAO_BEBIDA,145,0.007581699346405229
val,I-CLASSIFICACAO_BEBIDA,29,0.0015163398692810458
val,B-NOME_BEBIDA,321,0.016784313725490198
val,B-TEMPO,170,0.008888888888888889
val,B-RECIPIENTE_ARMAZENAMENTO,96,0.005019607843137255
val,O,15186,0.7940392156862746
val,I-TEMPO_ARMAZENAMENTO,113,0.005908496732026144
val,B-EQUIPAMENTO_DESTILACAO,25,0.00130718954248366
val,B-CARACTERISTICA_SENSORIAL_COR,53,0.0027712418300653596
val,I-CARACTERISTICA_SENSORIAL_COR,25,0.00130718954248366
val,I-CARACTERISTICA_SENSORIAL_SABOR,32,0.0016732026143790849
val,B-NOME_PESSOA,100,0.00522875816993464
val,I-RECIPIENTE_ARMAZENAMENTO,27,0.001411764705882353
val,B-NOME_ORGANIZACAO,109,0.005699346405228758
val,I-EQUIPAMENTO_DESTILACAO,25,0.00130718954248366
val,I-VOLUME,101,0.005281045751633987
val,I-NOME_BEBIDA,252,0.013176470588235295
val,I-NOME_PESSOA,101,0.005281045751633987
val,I-NOME_ORGANIZACAO,170,0.008888888888888889
val,B-NOME_LOCAL,465,0.02431372549019608
test,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,52,0.001424618503602641
test,I-GRADUACAO_ALCOOLICA,42,0.0011506534067559793
test,B-VOLUME,536,0.01468452919098107
test,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,8,0.00021917207747732938
test,B-GRADUACAO_ALCOOLICA,208,0.005698474014410564
test,B-CARACTERISTICA_SENSORIAL_SABOR,175,0.00479438919481658
test,B-TIPO_MADEIRA,502,0.013753047861702419
test,I-TIPO_MADEIRA,83,0.0022739103038272924
test,I-NOME_LOCAL,396,0.010849017835127804
test,I-TEMPO,65,0.0017807731295033013
test,B-CARACTERISTICA_SENSORIAL_AROMA,196,0.00536971589819457
test,I-PRECO,505,0.013835237390756417
test,B-PRECO,176,0.004821785704501247
test,I-CARACTERISTICA_SENSORIAL_AROMA,108,0.0029588230459439467
test,B-TEMPO_ARMAZENAMENTO,216,0.0059176460918878935
test,B-CLASSIFICACAO_BEBIDA,262,0.007177885537382537
test,I-CLASSIFICACAO_BEBIDA,51,0.0013972219939179748
