label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,196,651,88
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,52,195,31
B-CARACTERISTICA_SENSORIAL_COR,119,390,53
B-CARACTERISTICA_SENSORIAL_SABOR,175,660,71
B-CLASSIFICACAO_BEBIDA,262,918,145
B-EQUIPAMENTO_DESTILACAO,65,202,25
B-GRADUACAO_ALCOOLICA,208,815,121
B-NOME_BEBIDA,634,2216,321
B-NOME_LOCAL,854,2913,465
B-NOME_ORGANIZACAO,198,667,109
B-NOME_PESSOA,125,518,100
B-PRECO,176,628,81
B-RECIPIENTE_ARMAZENAMENTO,184,711,96
B-TEMPO,253,879,170
B-TEMPO_ARMAZENAMENTO,216,884,110
B-TIPO_MADEIRA,502,1818,237
B-VOLUME,536,1762,234
I-CARACTERISTICA_SENSORIAL_AROMA,108,371,44
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,8,23,1
I-CARACTERISTICA_SENSORIAL_COR,64,215,25
I-CARACTERISTICA_SENSORIAL_SABOR,73,291,32
I-CLASSIFICACAO_BEBIDA,51,147,29
I-EQUIPAMENTO_DESTILACAO,64,193,25
I-GRADUACAO_ALCOOLICA,42,136,21
I-NOME_BEBIDA,528,1933,252
I-NOME_LOCAL,396,1433,215
I-NOME_ORGANIZACAO,282,946,170
I-NOME_PESSOA,123,486,101
I-PRECO,505,1789,228
I-RECIPIENTE_ARMAZENAMENTO,68,267,27
I-TEMPO,65,215,31
I-TEMPO_ARMAZENAMENTO,249,974,113
I-TIPO_MADEIRA,83,358,67
I-VOLUME,277,930,101
O,28760,99859,15186
