label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,0.00536971589819457,0.005110170888510358,0.004601307189542484
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.001424618503602641,0.0015306963490929644,0.0016209150326797386
B-CARACTERISTICA_SENSORIAL_COR,0.0032601846524752745,0.003061392698185929,0.0027712418300653596
B-CARACTERISTICA_SENSORIAL_SABOR,0.00479438919481658,0.005180818412314649,0.003712418300653595
B-CLASSIFICACAO_BEBIDA,0.007177885537382537,0.007206047428037647,0.007581699346405229
B-EQUIPAMENTO_DESTILACAO,0.0017807731295033013,0.0015856444231629682,0.00130718954248366
B-GRADUACAO_ALCOOLICA,0.005698474014410564,0.006397525766721876,0.006326797385620915
B-NOME_BEBIDA,0.017369387140078355,0.01739499030558979,0.016784313725490198
B-NOME_LOCAL,0.023396619270704914,0.022866248537988743,0.02431372549019608
B-NOME_ORGANIZACAO,0.005424508917563902,0.005235766486384652,0.005699346405228758
B-NOME_PESSOA,0.0034245637105832717,0.004066157481180285,0.00522875816993464
B-PRECO,0.004821785704501247,0.004929627216566059,0.0042352941176470585
B-RECIPIENTE_ARMAZENAMENTO,0.005040957781978576,0.005581154380538962,0.005019607843137255
B-TEMPO,0.006931316950220542,0.006899908158219055,0.008888888888888889
B-TEMPO_ARMAZENAMENTO,0.0059176460918878935,0.006939156782554771,0.005751633986928104
B-TIPO_MADEIRA,0.013753047861702419,0.014270799808466713,0.012392156862745097
B-VOLUME,0.01468452919098107,0.013831215215906682,0.01223529411764706
I-CARACTERISTICA_SENSORIAL_AROMA,0.0029588230459439467,0.002912247925710204,0.002300653594771242
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.00021917207747732938,0.00018054367194429835,5.22875816993464e-05
I-CARACTERISTICA_SENSORIAL_COR,0.001753376619818635,0.0016876908464358324,0.00130718954248366
I-CARACTERISTICA_SENSORIAL_SABOR,0.0019999452069806305,0.002284269936338731,0.0016732026143790849
I-CLASSIFICACAO_BEBIDA,0.0013972219939179748,0.0011539095554700808,0.0015163398692810458
I-EQUIPAMENTO_DESTILACAO,0.001753376619818635,0.0015149968993586774,0.00130718954248366
I-GRADUACAO_ALCOOLICA,0.0011506534067559793,0.0010675625819315034,0.0010980392156862745
I-NOME_BEBIDA,0.01446535711350374,0.015173518168188205,0.013176470588235295
I-NOME_LOCAL,0.010849017835127804,0.011248655734616501,0.011241830065359478
I-NOME_ORGANIZACAO,0.007725815731075861,0.007425839724317662,0.008888888888888889
I-NOME_PESSOA,0.003369770691213939,0.0038149662854316956,0.005281045751633987
I-PRECO,0.013835237390756417,0.014043157787319554,0.01192156862745098
I-RECIPIENTE_ARMAZENAMENTO,0.0018629626585572997,0.0020958765395272896,0.001411764705882353
I-TEMPO,0.0017807731295033013,0.0016876908464358324,0.0016209150326797386
I-TEMPO_ARMAZENAMENTO,0.006821730911481878,0.007645632020597678,0.005908496732026144
I-TIPO_MADEIRA,0.0022739103038272924,0.0028102015024373396,0.0035032679738562092
I-VOLUME,0.00758883318265253,0.007300244126443368,0.005281045751633987
O,0.7879236185309991,0.7838656755080734,0.7940392156862746
