split,label,count,prop
train,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,181,0.0014163751750905776
train,I-GRADUACAO_ALCOOLICA,158,0.0012363937992503383
train,B-VOLUME,2072,0.016213974380042413
train,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,28,0.00021910776189246504
train,B-GRADUACAO_ALCOOLICA,940,0.0073557605778184695
train,B-CARACTERISTICA_SENSORIAL_SABOR,604,0.004726467435108889
train,B-TIPO_MADEIRA,1892,0.01480542448216228
train,I-NOME_LOCAL,1526,0.011941373023139345
train,I-TIPO_MADEIRA,346,0.0027075459148140323
train,I-TEMPO,184,0.0014398510067219132
train,B-CARACTERISTICA_SENSORIAL_AROMA,617,0.0048281960388446765
train,I-PRECO,2035,0.015924439123255942
train,B-PRECO,702,0.005493344601732516
train,I-CARACTERISTICA_SENSORIAL_AROMA,351,0.002746672300866258
train,B-TEMPO_ARMAZENAMENTO,934,0.007308808914555798
train,B-CLASSIFICACAO_BEBIDA,1005,0.007864403596497406
train,I-CLASSIFICACAO_BEBIDA,173,0.0013537729574070161
train,B-NOME_BEBIDA,2328,0.01821724534591638
train,B-TEMPO,863,0.0067532142326141905
train,B-RECIPIENTE_ARMAZENAMENTO,685,0.005360314889154948
train,O,98757,0.7728009014719347
train,I-TEMPO_ARMAZENAMENTO,1051,0.008224366348177884
train,B-EQUIPAMENTO_DESTILACAO,206,0.0016120071053517071
train,B-CARACTERISTICA_SENSORIAL_COR,412,0.0032240142107034142
train,I-CARACTERISTICA_SENSORIAL_COR,232,0.0018154643128232817
train,I-CARACTERISTICA_SENSORIAL_SABOR,267,0.002089349015188863
train,B-NOME_PESSOA,479,0.0037483077838032413
train,I-RECIPIENTE_ARMAZENAMENTO,242,0.0018937170849277335
train,B-NOME_ORGANIZACAO,649,0.005078604909578922
train,I-EQUIPAMENTO_DESTILACAO,208,0.0016276576597725975
train,I-VOLUME,1058,0.008279143288651
train,I-NOME_BEBIDA,2009,0.015720981915784367
train,I-NOME_PESSOA,446,0.0034900736358585505
train,I-NOME_ORGANIZACAO,932,0.007293158360134908
train,B-NOME_LOCAL,3219,0.025189567340423033
val,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,33,0.002021315692760015
val,I-GRADUACAO_ALCOOLICA,24,0.001470047776552738
val,B-VOLUME,289,0.017701825309322555
val,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,1,6.125199068969742e-05
val,B-GRADUACAO_ALCOOLICA,136,0.008330270733798849
val,B-CARACTERISTICA_SENSORIAL_SABOR,75,0.004593899301727306
val,B-TIPO_MADEIRA,269,0.016476785495528605
val,I-NOME_LOCAL,183,0.011209114296214627
val,I-TIPO_MADEIRA,57,0.0034913634693127527
val,I-TEMPO,15,0.0009187798603454612
val,B-CARACTERISTICA_SENSORIAL_AROMA,81,0.004961411245865491
val,I-PRECO,248,0.015190493691044958
val,B-PRECO,86,0.0052676711993139775
val,I-CARACTERISTICA_SENSORIAL_AROMA,37,0.0022663236555188044
val,B-TEMPO_ARMAZENAMENTO,110,0.006737718975866716
val,B-CLASSIFICACAO_BEBIDA,143,0.008759034668626731
val,I-CLASSIFICACAO_BEBIDA,29,0.001776307730001225
val,B-NOME_BEBIDA,309,0.0189268651231165
val,B-TEMPO,113,0.0069214749479358075
val,B-RECIPIENTE_ARMAZENAMENTO,81,0.004961411245865491
val,O,12486,0.7647923557515619
val,I-TEMPO_ARMAZENAMENTO,116,0.0071052309200049
val,B-EQUIPAMENTO_DESTILACAO,30,0.0018375597206909224
val,B-CARACTERISTICA_SENSORIAL_COR,57,0.0034913634693127527
val,I-CARACTERISTICA_SENSORIAL_COR,30,0.0018375597206909224
val,I-CARACTERISTICA_SENSORIAL_SABOR,27,0.0016538037486218302
val,B-NOME_PESSOA,69,0.004226387357589121
val,I-RECIPIENTE_ARMAZENAMENTO,38,0.0023275756462085018
val,B-NOME_ORGANIZACAO,109,0.006676466985177018
val,I-EQUIPAMENTO_DESTILACAO,30,0.0018375597206909224
val,I-VOLUME,146,0.008942790640695822
val,I-NOME_BEBIDA,252,0.015435501653803748
val,I-NOME_PESSOA,54,0.0033076074972436605
val,I-NOME_ORGANIZACAO,147,0.00900404263138552
val,B-NOME_LOCAL,416,0.025480828126914126
test,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,64,0.0016451596318955324
test,I-GRADUACAO_ALCOOLICA,17,0.0004369955272222508
test,B-VOLUME,171,0.0043956608914708754
test,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,3,7.711685774510308e-05
test,B-GRADUACAO_ALCOOLICA,68,0.0017479821088890032
test,B-CARACTERISTICA_SENSORIAL_SABOR,227,0.005835175569379466
test,B-TIPO_MADEIRA,396,0.010179425222353607
test,I-NOME_LOCAL,335,0.008611382448203177
test,I-TIPO_MADEIRA,105,0.002699090021078608
test,I-TEMPO,112,0.0028790293558171817
test,B-CARACTERISTICA_SENSORIAL_AROMA,237,0.006092231761863143
test,I-PRECO,239,0.006143643000359879
test,B-PRECO,97,0.0024934450670916664
test,I-CARACTERISTICA_SENSORIAL_AROMA,135,0.0034702585985296385
test,B-TEMPO_ARMAZENAMENTO,166,0.004267132795229037
test,B-CLASSIFICACAO_BEBIDA,177,0.004549894606961082
