label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,237,617,81
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,64,181,33
B-CARACTERISTICA_SENSORIAL_COR,93,412,57
B-CARACTERISTICA_SENSORIAL_SABOR,227,604,75
B-CLASSIFICACAO_BEBIDA,177,1005,143
B-EQUIPAMENTO_DESTILACAO,56,206,30
B-GRADUACAO_ALCOOLICA,68,940,136
B-NOME_BEBIDA,534,2328,309
B-NOME_LOCAL,597,3219,416
B-NOME_ORGANIZACAO,216,649,109
B-NOME_PESSOA,195,479,69
B-PRECO,97,702,86
B-RECIPIENTE_ARMAZENAMENTO,225,685,81
B-TEMPO,326,863,113
B-TEMPO_ARMAZENAMENTO,166,934,110
B-TIPO_MADEIRA,396,1892,269
B-VOLUME,171,2072,289
I-CARACTERISTICA_SENSORIAL_AROMA,135,351,37
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,3,28,1
I-CARACTERISTICA_SENSORIAL_COR,42,232,30
I-CARACTERISTICA_SENSORIAL_SABOR,102,267,27
I-CLASSIFICACAO_BEBIDA,25,173,29
I-EQUIPAMENTO_DESTILACAO,44,208,30
I-GRADUACAO_ALCOOLICA,17,158,24
I-NOME_BEBIDA,452,2009,252
I-NOME_LOCAL,335,1526,183
I-NOME_ORGANIZACAO,319,932,147
I-NOME_PESSOA,210,446,54
I-PRECO,239,2035,248
I-RECIPIENTE_ARMAZENAMENTO,82,242,38
I-TEMPO,112,184,15
I-TEMPO_ARMAZENAMENTO,169,1051,116
I-TIPO_MADEIRA,105,346,57
I-VOLUME,104,1058,146
O,32562,98757,12486
