label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,0.006092231761863143,0.0048281960388446765,0.004961411245865491
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.0016451596318955324,0.0014163751750905776,0.002021315692760015
B-CARACTERISTICA_SENSORIAL_COR,0.0023906225900981954,0.0032240142107034142,0.0034913634693127527
B-CARACTERISTICA_SENSORIAL_SABOR,0.005835175569379466,0.004726467435108889,0.004593899301727306
B-CLASSIFICACAO_BEBIDA,0.004549894606961082,0.007864403596497406,0.008759034668626731
B-EQUIPAMENTO_DESTILACAO,0.0014395146779085908,0.0016120071053517071,0.0018375597206909224
B-GRADUACAO_ALCOOLICA,0.0017479821088890032,0.0073557605778184695,0.008330270733798849
B-NOME_BEBIDA,0.013726800678628349,0.01821724534591638,0.0189268651231165
B-NOME_LOCAL,0.015346254691275513,0.025189567340423033,0.025480828126914126
B-NOME_ORGANIZACAO,0.005552413757647421,0.005078604909578922,0.006676466985177018
B-NOME_PESSOA,0.0050125957534317,0.0037483077838032413,0.004226387357589121
B-PRECO,0.0024934450670916664,0.005493344601732516,0.0052676711993139775
B-RECIPIENTE_ARMAZENAMENTO,0.005783764330882731,0.005360314889154948,0.004961411245865491
B-TEMPO,0.008380031874967869,0.0067532142326141905,0.0069214749479358075
B-TEMPO_ARMAZENAMENTO,0.004267132795229037,0.007308808914555798,0.006737718975866716
B-TIPO_MADEIRA,0.010179425222353607,0.01480542448216228,0.016476785495528605
B-VOLUME,0.0043956608914708754,0.016213974380042413,0.017701825309322555
I-CARACTERISTICA_SENSORIAL_AROMA,0.0034702585985296385,0.002746672300866258,0.0022663236555188044
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,7.711685774510308e-05,0.00021910776189246504,6.125199068969742e-05
I-CARACTERISTICA_SENSORIAL_COR,0.0010796360084314432,0.0018154643128232817,0.0018375597206909224
I-CARACTERISTICA_SENSORIAL_SABOR,0.002621973163333505,0.002089349015188863,0.0016538037486218302
I-CLASSIFICACAO_BEBIDA,0.0006426404812091924,0.0013537729574070161,0.001776307730001225
I-EQUIPAMENTO_DESTILACAO,0.0011310472469281785,0.0016276576597725975,0.0018375597206909224
I-GRADUACAO_ALCOOLICA,0.0004369955272222508,0.0012363937992503383,0.001470047776552738
I-NOME_BEBIDA,0.011618939900262198,0.015720981915784367,0.015435501653803748
I-NOME_LOCAL,0.008611382448203177,0.011941373023139345,0.011209114296214627
I-NOME_ORGANIZACAO,0.008200092540229294,0.007293158360134908,0.00900404263138552
I-NOME_PESSOA,0.005398180042157216,0.0034900736358585505,0.0033076074972436605
I-PRECO,0.006143643000359879,0.015924439123255942,0.015190493691044958
I-RECIPIENTE_ARMAZENAMENTO,0.0021078607783661506,0.0018937170849277335,0.0023275756462085018
I-TEMPO,0.0028790293558171817,0.0014398510067219132,0.0009187798603454612
I-TEMPO_ARMAZENAMENTO,0.00434424965297414,0.008224366348177884,0.0071052309200049
I-TIPO_MADEIRA,0.002699090021078608,0.0027075459148140323,0.0034913634693127527
I-VOLUME,0.00267338440183024,0.008279143288651,0.008942790640695822
O,0.8370263739653488,0.7728009014719347,0.7647923557515619
