split,label,count,prop
train,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,125,0.001220560090614381
train,I-GRADUACAO_ALCOOLICA,163,0.001591610358161153
train,B-VOLUME,2151,0.02100339803929227
train,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,16,0.00015623169159864077
train,B-GRADUACAO_ALCOOLICA,983,0.009598484552591493
train,B-CARACTERISTICA_SENSORIAL_SABOR,329,0.003212514158497051
train,B-TIPO_MADEIRA,1652,0.016130922157559662
train,B-CARACTERISTICA_SENSORIAL_AROMA,352,0.003437097215170097
train,I-NOME_LOCAL,1295,0.012645002538764988
train,I-TEMPO,120,0.001171737686989806
train,I-TIPO_MADEIRA,267,0.002607116353552318
train,I-PRECO,2519,0.02459672694606101
train,B-PRECO,881,0.008602507518650158
train,I-CARACTERISTICA_SENSORIAL_AROMA,195,0.0019040737413584345
train,B-TEMPO_ARMAZENAMENTO,860,0.008397453423426942
train,B-CLASSIFICACAO_BEBIDA,907,0.00885638401749795
train,I-CLASSIFICACAO_BEBIDA,165,0.001611139319610983
train,B-NOME_BEBIDA,1927,0.0188161543569113
train,B-TEMPO,750,0.007323360543686287
train,B-RECIPIENTE_ARMAZENAMENTO,534,0.005214232707104636
train,O,76605,0.7480080459321173
train,B-EQUIPAMENTO_DESTILACAO,179,0.0017478420497597938
train,I-TEMPO_ARMAZENAMENTO,964,0.009412959418818107
train,B-CARACTERISTICA_SENSORIAL_COR,284,0.002773112525875874
train,I-CARACTERISTICA_SENSORIAL_COR,180,0.0017576065304847088
train,I-CARACTERISTICA_SENSORIAL_SABOR,107,0.0010447994375659103
train,B-NOME_PESSOA,305,0.00297816662109909
train,B-NOME_ORGANIZACAO,569,0.0055559895324766625
train,I-RECIPIENTE_ARMAZENAMENTO,212,0.00207006991368199
train,I-EQUIPAMENTO_DESTILACAO,171,0.0016697262039604734
train,I-VOLUME,1080,0.010545639182908254
train,I-NOME_BEBIDA,1690,0.016501972425106433
train,I-NOME_PESSOA,233,0.0022751240089052063
train,I-NOME_ORGANIZACAO,829,0.008094754520954575
train,B-NOME_LOCAL,2813,0.027467484279186032
val,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,44,0.001561501880899993
val,I-GRADUACAO_ALCOOLICA,8,0.0002839094328909078
val,B-VOLUME,178,0.0063169848818226985
val,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,6,0.00021293207466818086
val,B-GRADUACAO_ALCOOLICA,53,0.0018808999929022642
val,B-CARACTERISTICA_SENSORIAL_SABOR,125,0.0044360848889204345
val,B-TIPO_MADEIRA,293,0.010398182979629498
val,B-CARACTERISTICA_SENSORIAL_AROMA,120,0.004258641493363617
val,I-NOME_LOCAL,300,0.010646603733409043
val,I-TEMPO,53,0.0018808999929022642
val,I-TIPO_MADEIRA,79,0.0028036056497977146
val,I-PRECO,0,0.0
val,B-PRECO,0,0.0
val,I-CARACTERISTICA_SENSORIAL_AROMA,71,0.002519696216906807
val,B-TEMPO_ARMAZENAMENTO,133,0.004719994321811342
val,B-CLASSIFICACAO_BEBIDA,170,0.006033075448931791
val,I-CLASSIFICACAO_BEBIDA,32,0.0011356377315636312
val,B-NOME_BEBIDA,474,0.016821633898786287
val,B-TEMPO,189,0.0067073603520476964
val,B-RECIPIENTE_ARMAZENAMENTO,167,0.005926609411597701
val,O,23423,0.8312513308254666
val,B-EQUIPAMENTO_DESTILACAO,48,0.0017034565973454469
val,I-TEMPO_ARMAZENAMENTO,134,0.004755483000922706
val,B-CARACTERISTICA_SENSORIAL_COR,80,0.002839094328909078
val,I-CARACTERISTICA_SENSORIAL_COR,33,0.0011711264106749946
val,I-CARACTERISTICA_SENSORIAL_SABOR,72,0.00255518489601817
val,B-NOME_PESSOA,193,0.00684931506849315
val,B-NOME_ORGANIZACAO,144,0.00511036979203634
val,I-RECIPIENTE_ARMAZENAMENTO,48,0.0017034565973454469
val,I-EQUIPAMENTO_DESTILACAO,42,0.0014905245226772659
val,I-VOLUME,106,0.0037617999858045284
val,I-NOME_BEBIDA,394,0.013982539569877208
val,I-NOME_PESSOA,220,0.007807509404499965
val,I-NOME_ORGANIZACAO,214,0.007594577329831783
val,B-NOME_LOCAL,532,0.01887997728724537
test,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,109,0.002079002079002079
test,I-GRADUACAO_ALCOOLICA,28,0.0005340555799271396
test,B-VOLUME,203,0.003871902954471762
test,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,10,0.00019073413568826414
test,B-GRADUACAO_ALCOOLICA,108,0.0020599286654332527
test,B-CARACTERISTICA_SENSORIAL_SABOR,452,0.008621182933109539
test,B-TIPO_MADEIRA,612,0.011672929104121765
test,B-CARACTERISTICA_SENSORIAL_AROMA,463,0.00883099048236663
test,I-NOME_LOCAL,449,0.00856396269240306
test,I-TEMPO,138,0.002632131072498045
test,I-TIPO_MADEIRA,162,0.003089892998149879
test,I-PRECO,3,5.722024070647924e-05
test,B-PRECO,4,7.629365427530566e-05
test,I-CARACTERISTICA_SENSORIAL_AROMA,257,0.004901867287188388
test,B-TEMPO_ARMAZENAMENTO,217,0.004138930744435332
test,B-CLASSIFICACAO_BEBIDA,248,0.004730206565068951
test,I-CLASSIFICACAO_BEBIDA,30,0.0005722024070647924
test,B-NOME_BEBIDA,770,0.014686528447996339
test,B-TEMPO,363,0.006923649125483988
test,B-RECIPIENTE_ARMAZENAMENTO,290,0.00553128993495966
test,O,43777,0.8349768258025139
test,B-EQUIPAMENTO_DESTILACAO,65,0.001239771881973717
test,I-TEMPO_ARMAZENAMENTO,238,0.0045394724293806865
test,B-CARACTERISTICA_SENSORIAL_COR,198,0.00377653588662763
test,I-CARACTERISTICA_SENSORIAL_COR,91,0.0017356806347632037
test,I-CARACTERISTICA_SENSORIAL_SABOR,217,0.004138930744435332
test,B-NOME_PESSOA,245,0.004672986324362471
test,B-NOME_ORGANIZACAO,261,0.004978160941463694
test,I-RECIPIENTE_ARMAZENAMENTO,102,0.0019454881840202942
test,I-EQUIPAMENTO_DESTILACAO,69,0.0013160655362490226
test,I-VOLUME,122,0.0023269564553968225
test,I-NOME_BEBIDA,629,0.011997177134791814
test,I-NOME_PESSOA,257,0.004901867287188388
test,I-NOME_ORGANIZACAO,355,0.006771061816933377
test,B-NOME_LOCAL,887,0.01691811783554903
