label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,463,352,120
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,109,125,44
B-CARACTERISTICA_SENSORIAL_COR,198,284,80
B-CARACTERISTICA_SENSORIAL_SABOR,452,329,125
B-CLASSIFICACAO_BEBIDA,248,907,170
B-EQUIPAMENTO_DESTILACAO,65,179,48
B-GRADUACAO_ALCOOLICA,108,983,53
B-NOME_BEBIDA,770,1927,474
B-NOME_LOCAL,887,2813,532
B-NOME_ORGANIZACAO,261,569,144
B-NOME_PESSOA,245,305,193
B-PRECO,4,881,0
B-RECIPIENTE_ARMAZENAMENTO,290,534,167
B-TEMPO,363,750,189
B-TEMPO_ARMAZENAMENTO,217,860,133
B-TIPO_MADEIRA,612,1652,293
B-VOLUME,203,2151,178
I-CARACTERISTICA_SENSORIAL_AROMA,257,195,71
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,10,16,6
I-CARACTERISTICA_SENSORIAL_COR,91,180,33
I-CARACTERISTICA_SENSORIAL_SABOR,217,107,72
I-CLASSIFICACAO_BEBIDA,30,165,32
I-EQUIPAMENTO_DESTILACAO,69,171,42
I-GRADUACAO_ALCOOLICA,28,163,8
I-NOME_BEBIDA,629,1690,394
I-NOME_LOCAL,449,1295,300
I-NOME_ORGANIZACAO,355,829,214
I-NOME_PESSOA,257,233,220
I-PRECO,3,2519,0
I-RECIPIENTE_ARMAZENAMENTO,102,212,48
I-TEMPO,138,120,53
I-TEMPO_ARMAZENAMENTO,238,964,134
I-TIPO_MADEIRA,162,267,79
I-VOLUME,122,1080,106
O,43777,76605,23423
