label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,0.00883099048236663,0.003437097215170097,0.004258641493363617
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.002079002079002079,0.001220560090614381,0.001561501880899993
B-CARACTERISTICA_SENSORIAL_COR,0.00377653588662763,0.002773112525875874,0.002839094328909078
B-CARACTERISTICA_SENSORIAL_SABOR,0.008621182933109539,0.003212514158497051,0.0044360848889204345
B-CLASSIFICACAO_BEBIDA,0.004730206565068951,0.00885638401749795,0.006033075448931791
B-EQUIPAMENTO_DESTILACAO,0.001239771881973717,0.0017478420497597938,0.0017034565973454469
B-GRADUACAO_ALCOOLICA,0.0020599286654332527,0.009598484552591493,0.0018808999929022642
B-NOME_BEBIDA,0.014686528447996339,0.0188161543569113,0.016821633898786287
B-NOME_LOCAL,0.01691811783554903,0.027467484279186032,0.01887997728724537
B-NOME_ORGANIZACAO,0.004978160941463694,0.0055559895324766625,0.00511036979203634
B-NOME_PESSOA,0.004672986324362471,0.00297816662109909,0.00684931506849315
B-PRECO,7.629365427530566e-05,0.008602507518650158,0.0
B-RECIPIENTE_ARMAZENAMENTO,0.00553128993495966,0.005214232707104636,0.005926609411597701
B-TEMPO,0.006923649125483988,0.007323360543686287,0.0067073603520476964
B-TEMPO_ARMAZENAMENTO,0.004138930744435332,0.008397453423426942,0.004719994321811342
B-TIPO_MADEIRA,0.011672929104121765,0.016130922157559662,0.010398182979629498
B-VOLUME,0.003871902954471762,0.02100339803929227,0.0063169848818226985
I-CARACTERISTICA_SENSORIAL_AROMA,0.004901867287188388,0.0019040737413584345,0.002519696216906807
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.00019073413568826414,0.00015623169159864077,0.00021293207466818086
I-CARACTERISTICA_SENSORIAL_COR,0.0017356806347632037,0.0017576065304847088,0.0011711264106749946
I-CARACTERISTICA_SENSORIAL_SABOR,0.004138930744435332,0.0010447994375659103,0.00255518489601817
I-CLASSIFICACAO_BEBIDA,0.0005722024070647924,0.001611139319610983,0.0011356377315636312
I-EQUIPAMENTO_DESTILACAO,0.0013160655362490226,0.0016697262039604734,0.0014905245226772659
I-GRADUACAO_ALCOOLICA,0.0005340555799271396,0.001591610358161153,0.0002839094328909078
I-NOME_BEBIDA,0.011997177134791814,0.016501972425106433,0.013982539569877208
I-NOME_LOCAL,0.00856396269240306,0.012645002538764988,0.010646603733409043
I-NOME_ORGANIZACAO,0.006771061816933377,0.008094754520954575,0.007594577329831783
I-NOME_PESSOA,0.004901867287188388,0.0022751240089052063,0.007807509404499965
I-PRECO,5.722024070647924e-05,0.02459672694606101,0.0
I-RECIPIENTE_ARMAZENAMENTO,0.0019454881840202942,0.00207006991368199,0.0017034565973454469
I-TEMPO,0.002632131072498045,0.001171737686989806,0.0018808999929022642
I-TEMPO_ARMAZENAMENTO,0.0045394724293806865,0.009412959418818107,0.004755483000922706
I-TIPO_MADEIRA,0.003089892998149879,0.002607116353552318,0.0028036056497977146
I-VOLUME,0.0023269564553968225,0.010545639182908254,0.0037617999858045284
O,0.8349768258025139,0.7480080459321173,0.8312513308254666
