split,label,count,prop
train,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,20,0.00019622463796554297
train,I-GRADUACAO_ALCOOLICA,179,0.0017562105097916093
train,B-VOLUME,2171,0.02130018445115969
train,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,1,9.811231898277148e-06
train,B-GRADUACAO_ALCOOLICA,1027,0.01007613515953063
train,B-CARACTERISTICA_SENSORIAL_SABOR,178,0.0017463992778933323
train,B-TIPO_MADEIRA,1251,0.012273851104744712
train,I-NOME_LOCAL,935,0.009173501824889133
train,I-TEMPO,109,0.0010694242769122091
train,I-TIPO_MADEIRA,102,0.001000745653624269
train,B-CARACTERISTICA_SENSORIAL_AROMA,63,0.0006181076095914603
train,I-PRECO,3,2.9433695694831442e-05
train,B-PRECO,4,3.924492759310859e-05
train,I-CARACTERISTICA_SENSORIAL_AROMA,39,0.00038263804403280874
train,B-TEMPO_ARMAZENAMENTO,623,0.006112397472626663
train,B-CLASSIFICACAO_BEBIDA,738,0.007240689140928535
train,I-CLASSIFICACAO_BEBIDA,102,0.001000745653624269
train,B-NOME_BEBIDA,2371,0.02326243083081512
train,B-TEMPO,771,0.0075644597935716805
train,B-CARACTERISTICA_SENSORIAL_COR,55,0.0005396177544052431
train,O,83580,0.820022762058004
train,B-EQUIPAMENTO_DESTILACAO,53,0.0005199952906086888
train,I-TEMPO_ARMAZENAMENTO,609,0.005975040226050783
train,B-RECIPIENTE_ARMAZENAMENTO,239,0.0023448844236882383
train,I-CARACTERISTICA_SENSORIAL_COR,4,3.924492759310859e-05
train,I-CARACTERISTICA_SENSORIAL_SABOR,28,0.0002747144931517601
train,B-NOME_PESSOA,126,0.0012362152191829207
train,B-NOME_ORGANIZACAO,333,0.00326714022212629
train,I-RECIPIENTE_ARMAZENAMENTO,55,0.0005396177544052431
train,I-EQUIPAMENTO_DESTILACAO,51,0.0005003728268121345
train,I-VOLUME,968,0.009497272477532279
train,I-NOME_BEBIDA,1940,0.019033789882657668
train,I-NOME_PESSOA,85,0.0008339547113535576
train,I-NOME_ORGANIZACAO,347,0.00340449746870217
train,B-NOME_LOCAL,2764,0.027118244966838036
val,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,13,0.0007203014184397163
val,I-GRADUACAO_ALCOOLICA,7,0.00038785460992907803
val,B-VOLUME,152,0.008421985815602837
val,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0,0.0
val,B-GRADUACAO_ALCOOLICA,33,0.0018284574468085107
val,B-CARACTERISTICA_SENSORIAL_SABOR,123,0.006815159574468085
val,B-TIPO_MADEIRA,356,0.01972517730496454
val,I-NOME_LOCAL,244,0.013519503546099291
val,I-TEMPO,52,0.002881205673758865
val,I-TIPO_MADEIRA,108,0.005984042553191489
val,B-CARACTERISTICA_SENSORIAL_AROMA,26,0.0014406028368794325
val,I-PRECO,1543,0.08549423758865249
val,B-PRECO,559,0.030972960992907802
val,I-CARACTERISTICA_SENSORIAL_AROMA,13,0.0007203014184397163
val,B-TEMPO_ARMAZENAMENTO,143,0.00792331560283688
val,B-CLASSIFICACAO_BEBIDA,109,0.006039450354609929
val,I-CLASSIFICACAO_BEBIDA,37,0.0020500886524822694
val,B-NOME_BEBIDA,209,0.011580230496453901
val,B-TEMPO,127,0.007036790780141844
val,B-CARACTERISTICA_SENSORIAL_COR,76,0.0042109929078014184
val,O,12459,0.6903257978723404
