label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,846,63,26
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,245,20,13
B-CARACTERISTICA_SENSORIAL_COR,431,55,76
B-CARACTERISTICA_SENSORIAL_SABOR,605,178,123
B-CLASSIFICACAO_BEBIDA,478,738,109
B-EQUIPAMENTO_DESTILACAO,225,53,14
B-GRADUACAO_ALCOOLICA,84,1027,33
B-NOME_BEBIDA,591,2371,209
B-NOME_LOCAL,1139,2764,329
B-NOME_ORGANIZACAO,489,333,152
B-NOME_PESSOA,556,126,61
B-PRECO,322,4,559
B-RECIPIENTE_ARMAZENAMENTO,572,239,180
B-TEMPO,404,771,127
B-TEMPO_ARMAZENAMENTO,444,623,143
B-TIPO_MADEIRA,950,1251,356
B-VOLUME,209,2171,152
I-CARACTERISTICA_SENSORIAL_AROMA,471,39,13
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,31,1,0
I-CARACTERISTICA_SENSORIAL_COR,289,4,11
I-CARACTERISTICA_SENSORIAL_SABOR,330,28,38
I-CLASSIFICACAO_BEBIDA,88,102,37
I-EQUIPAMENTO_DESTILACAO,213,51,18
I-GRADUACAO_ALCOOLICA,13,179,7
I-NOME_BEBIDA,553,1940,220
I-NOME_LOCAL,865,935,244
I-NOME_ORGANIZACAO,867,347,184
I-NOME_PESSOA,559,85,66
I-PRECO,976,3,1543
I-RECIPIENTE_ARMAZENAMENTO,274,55,33
I-TEMPO,150,109,52
I-TEMPO_ARMAZENAMENTO,570,609,157
I-TIPO_MADEIRA,298,102,108
I-VOLUME,144,968,196
O,47766,83580,12459
