label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,0.013418560756261202,0.0006181076095914603,0.0014406028368794325
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.0038859898171205607,0.00019622463796554297,0.0007203014184397163
B-CARACTERISTICA_SENSORIAL_COR,0.006836169841546782,0.0005396177544052431,0.0042109929078014184
B-CARACTERISTICA_SENSORIAL_SABOR,0.009596015670848732,0.0017463992778933323,0.006815159574468085
B-CLASSIFICACAO_BEBIDA,0.007581645439116849,0.007240689140928535,0.006039450354609929
B-EQUIPAMENTO_DESTILACAO,0.003568766158580107,0.0005199952906086888,0.0007757092198581561
B-GRADUACAO_ALCOOLICA,0.0013323393658699065,0.01007613515953063,0.0018284574468085107
B-NOME_BEBIDA,0.009373959109870414,0.02326243083081512,0.011580230496453901
B-NOME_LOCAL,0.018065887353878853,0.027118244966838036,0.018229166666666668
B-NOME_ORGANIZACAO,0.007756118451314099,0.00326714022212629,0.008421985815602837
B-NOME_PESSOA,0.00881881770742462,0.0012362152191829207,0.003379875886524823
B-PRECO,0.0051073009025013084,3.924492759310859e-05,0.030972960992907802
B-RECIPIENTE_ARMAZENAMENTO,0.009072596634256982,0.0023448844236882383,0.00997340425531915
B-TEMPO,0.0064079179025171695,0.0075644597935716805,0.007036790780141844
B-TEMPO_ARMAZENAMENTO,0.007042365219598078,0.006112397472626663,0.00792331560283688
B-TIPO_MADEIRA,0.015068123780671563,0.012273851104744712,0.01972517730496454
B-VOLUME,0.0033149872317477435,0.02130018445115969,0.008421985815602837
I-CARACTERISTICA_SENSORIAL_AROMA,0.0074706171586276906,0.00038263804403280874,0.0007203014184397163
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.0004916966707377036,9.811231898277148e-06,0.0
I-CARACTERISTICA_SENSORIAL_COR,0.00458388186590956,3.924492759310859e-05,0.0006094858156028369
I-CARACTERISTICA_SENSORIAL_SABOR,0.00523419036591749,0.0002747144931517601,0.0021054964539007092
I-CLASSIFICACAO_BEBIDA,0.0013957840975779973,0.001000745653624269,0.0020500886524822694
I-EQUIPAMENTO_DESTILACAO,0.0033784319634558345,0.0005003728268121345,0.0009973404255319148
I-GRADUACAO_ALCOOLICA,0.00020619537805129508,0.0017562105097916093,0.00038785460992907803
I-NOME_BEBIDA,0.008771234158643552,0.019033789882657668,0.012189716312056738
I-NOME_LOCAL,0.013719923231874633,0.009173501824889133,0.013519503546099291
I-NOME_ORGANIZACAO,0.013751645597728679,0.00340449746870217,0.010195035460992909
I-NOME_PESSOA,0.008866401256205688,0.0008339547113535576,0.0036569148936170214
I-PRECO,0.015480514536774152,2.9433695694831442e-05,0.08549423758865249
I-RECIPIENTE_ARMAZENAMENTO,0.004345964122004219,0.0005396177544052431,0.0018284574468085107
I-TEMPO,0.0023791774390534044,0.0010694242769122091,0.002881205673758865
I-TEMPO_ARMAZENAMENTO,0.009040874268402938,0.005975040226050783,0.008699024822695035
I-TIPO_MADEIRA,0.004726632512252764,0.001000745653624269,0.005984042553191489
I-VOLUME,0.0022840103414912684,0.009497272477532279,0.010859929078014184
O,0.7576252636921662,0.820022762058004,0.6903257978723404
