split,label,count,prop
train,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,220,0.001363005551149881
train,I-GRADUACAO_ALCOOLICA,51,0.00031596946867565426
train,B-VOLUME,1483,0.00918789651070579
train,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,31,0.00019205987311657414
train,B-GRADUACAO_ALCOOLICA,248,0.0015364789849325931
train,B-CARACTERISTICA_SENSORIAL_SABOR,873,0.005408653846153846
train,B-TIPO_MADEIRA,2347,0.01454079103885805
train,I-TIPO_MADEIRA,466,0.0028870935765265664
train,I-NOME_LOCAL,1933,0.011975862410785092
train,I-TEMPO,305,0.0018896213322759715
train,B-CARACTERISTICA_SENSORIAL_AROMA,935,0.005792773592386995
train,I-PRECO,3,1.8586439333862013e-05
train,B-PRECO,4,2.478191911181602e-05
train,I-CARACTERISTICA_SENSORIAL_AROMA,523,0.0032402359238699447
train,B-TEMPO_ARMAZENAMENTO,1001,0.006201675257731958
train,B-CLASSIFICACAO_BEBIDA,1252,0.007756740681998414
train,I-CLASSIFICACAO_BEBIDA,216,0.001338223632038065
train,B-NOME_BEBIDA,3139,0.01944761102299762
train,B-TEMPO,1169,0.007242515860428232
train,B-RECIPIENTE_ARMAZENAMENTO,983,0.006090156621728787
train,O,130011,0.8054805214115781
train,I-TEMPO_ARMAZENAMENTO,1112,0.006889373513084853
train,B-EQUIPAMENTO_DESTILACAO,292,0.0018090800951625695
train,B-CARACTERISTICA_SENSORIAL_COR,557,0.0034508822363203805
train,I-CARACTERISTICA_SENSORIAL_COR,299,0.0018524484536082473
train,I-CARACTERISTICA_SENSORIAL_SABOR,376,0.0023295003965107058
train,B-NOME_PESSOA,740,0.004584655035685964
train,I-RECIPIENTE_ARMAZENAMENTO,358,0.0022179817605075336
train,B-NOME_ORGANIZACAO,965,0.005978637985725614
train,I-EQUIPAMENTO_DESTILACAO,282,0.0017471252973830294
train,I-VOLUME,761,0.004714760111022997
train,I-NOME_BEBIDA,2681,0.016610081284694687
train,I-NOME_PESSOA,709,0.004392595162569389
train,I-NOME_ORGANIZACAO,1389,0.008605521411578113
train,B-NOME_LOCAL,3694,0.022886102299762092
val,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,8,0.0009246417013407304
val,I-GRADUACAO_ALCOOLICA,114,0.013176144244105409
val,B-VOLUME,47,0.005432269995376791
val,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0,0.0
val,B-GRADUACAO_ALCOOLICA,509,0.05883032824780397
val,B-CARACTERISTICA_SENSORIAL_SABOR,2,0.0002311604253351826
