label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,0,935,0
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,50,220,8
B-CARACTERISTICA_SENSORIAL_COR,0,557,5
B-CARACTERISTICA_SENSORIAL_SABOR,31,873,2
B-CLASSIFICACAO_BEBIDA,17,1252,56
B-EQUIPAMENTO_DESTILACAO,0,292,0
B-GRADUACAO_ALCOOLICA,387,248,509
B-NOME_BEBIDA,12,3139,20
B-NOME_LOCAL,244,3694,294
B-NOME_ORGANIZACAO,0,965,9
B-NOME_PESSOA,0,740,3
B-PRECO,709,4,172
B-RECIPIENTE_ARMAZENAMENTO,0,983,8
B-TEMPO,66,1169,67
B-TEMPO_ARMAZENAMENTO,198,1001,11
B-TIPO_MADEIRA,66,2347,144
B-VOLUME,1002,1483,47
I-CARACTERISTICA_SENSORIAL_AROMA,0,523,0
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,1,31,0
I-CARACTERISTICA_SENSORIAL_COR,0,299,5
I-CARACTERISTICA_SENSORIAL_SABOR,20,376,0
I-CLASSIFICACAO_BEBIDA,8,216,3
I-EQUIPAMENTO_DESTILACAO,0,282,0
I-GRADUACAO_ALCOOLICA,34,51,114
I-NOME_BEBIDA,11,2681,21
I-NOME_LOCAL,65,1933,46
I-NOME_ORGANIZACAO,0,1389,9
I-NOME_PESSOA,0,709,1
I-PRECO,2017,3,502
I-RECIPIENTE_ARMAZENAMENTO,0,358,4
I-TEMPO,0,305,6
I-TEMPO_ARMAZENAMENTO,213,1112,11
I-TIPO_MADEIRA,23,466,19
I-VOLUME,495,761,52
O,7290,130011,6504
