label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,0.0,0.005792773592386995,0.0
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,0.0038583224014198626,0.001363005551149881,0.0009246417013407304
B-CARACTERISTICA_SENSORIAL_COR,0.0,0.0034508822363203805,0.0005779010633379565
B-CARACTERISTICA_SENSORIAL_SABOR,0.002392159888880315,0.005408653846153846,0.0002311604253351826
B-CLASSIFICACAO_BEBIDA,0.0013118296164827533,0.007756740681998414,0.006472491909385114
B-EQUIPAMENTO_DESTILACAO,0.0,0.0018090800951625695,0.0
B-GRADUACAO_ALCOOLICA,0.029863415386989736,0.0015364789849325931,0.05883032824780397
B-NOME_BEBIDA,0.000925997376340767,0.01944761102299762,0.002311604253351826
B-NOME_LOCAL,0.01882861331892893,0.022886102299762092,0.03398058252427184
B-NOME_ORGANIZACAO,0.0,0.005978637985725614,0.0010402219140083217
B-NOME_PESSOA,0.0,0.004584655035685964,0.00034674063800277393
B-PRECO,0.05471101165213365,2.478191911181602e-05,0.019879796578825704
B-RECIPIENTE_ARMAZENAMENTO,0.0,0.006090156621728787,0.0009246417013407304
B-TEMPO,0.0050929855698742185,0.007242515860428232,0.007743874248728618
B-TEMPO_ARMAZENAMENTO,0.015278956709622656,0.006201675257731958,0.0012713823393435044
B-TIPO_MADEIRA,0.0050929855698742185,0.01454079103885805,0.016643550624133148
B-VOLUME,0.07732078092445405,0.00918789651070579,0.005432269995376791
I-CARACTERISTICA_SENSORIAL_AROMA,0.0,0.0032402359238699447,0.0
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,7.716644802839726e-05,0.00019205987311657414,0.0
I-CARACTERISTICA_SENSORIAL_COR,0.0,0.0018524484536082473,0.0005779010633379565
I-CARACTERISTICA_SENSORIAL_SABOR,0.0015433289605679451,0.0023295003965107058,0.0
I-CLASSIFICACAO_BEBIDA,0.0006173315842271781,0.001338223632038065,0.00034674063800277393
I-EQUIPAMENTO_DESTILACAO,0.0,0.0017471252973830294,0.0
I-GRADUACAO_ALCOOLICA,0.0026236592329655067,0.00031596946867565426,0.013176144244105409
I-NOME_BEBIDA,0.0008488309283123698,0.016610081284694687,0.0024271844660194173
I-NOME_LOCAL,0.005015819121845821,0.011975862410785092,0.0053166897827092
I-NOME_ORGANIZACAO,0.0,0.008605521411578113,0.0010402219140083217
I-NOME_PESSOA,0.0,0.004392595162569389,0.0001155802126675913
I-PRECO,0.15564472567327725,1.8586439333862013e-05,0.058021266759130836
I-RECIPIENTE_ARMAZENAMENTO,0.0,0.0022179817605075336,0.0004623208506703652
I-TEMPO,0.0,0.0018896213322759715,0.0006934812760055479
I-TEMPO_ARMAZENAMENTO,0.016436453430048615,0.006889373513084853,0.0012713823393435044
I-TIPO_MADEIRA,0.001774828304653137,0.0028870935765265664,0.002196024040684235
I-VOLUME,0.03819739177405664,0.004714760111022997,0.006010171058714748
O,0.5625434061270159,0.8054805214115781,0.7517337031900139
