split,label,count,prop
train,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,230,0.0015746198662257732
train,I-GRADUACAO_ALCOOLICA,162,0.0011090800796894576
train,B-VOLUME,2001,0.013699192836164225
train,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,27,0.00018484667994824293
train,B-GRADUACAO_ALCOOLICA,913,0.006250556251583178
train,B-CARACTERISTICA_SENSORIAL_SABOR,748,0.005120937651899471
train,B-TIPO_MADEIRA,2041,0.013973039769420883
train,I-NOME_LOCAL,1626,0.011131877836883073
train,B-CARACTERISTICA_SENSORIAL_AROMA,760,0.005203091731876467
train,I-TIPO_MADEIRA,402,0.002752161679229395
train,I-TEMPO,255,0.0017457741995111832
train,I-PRECO,2054,0.014062040022729295
train,B-PRECO,722,0.004942937145282644
train,I-CARACTERISTICA_SENSORIAL_AROMA,415,0.002841161932537808
train,B-TEMPO_ARMAZENAMENTO,979,0.00670240369145666
train,B-CLASSIFICACAO_BEBIDA,1055,0.007222712864644307
train,I-CLASSIFICACAO_BEBIDA,176,0.0012049265063292874
train,B-NOME_BEBIDA,2539,0.01738243408846625
train,B-TEMPO,1027,0.007031020011364648
train,B-RECIPIENTE_ARMAZENAMENTO,796,0.0054495539718074585
train,O,114705,0.7852903119801187
train,B-CARACTERISTICA_SENSORIAL_COR,457,0.003128701212457297
train,I-TEMPO_ARMAZENAMENTO,1080,0.007393867197929717
train,B-EQUIPAMENTO_DESTILACAO,231,0.0015814660395571895
train,I-CARACTERISTICA_SENSORIAL_COR,247,0.001691004812859852
train,I-CARACTERISTICA_SENSORIAL_SABOR,325,0.0022250063327103314
train,B-NOME_PESSOA,613,0.004196704252158256
train,B-NOME_ORGANIZACAO,769,0.005264707291859215
train,I-RECIPIENTE_ARMAZENAMENTO,305,0.0020880828660820036
train,I-EQUIPAMENTO_DESTILACAO,217,0.0014856196129173597
train,I-VOLUME,1034,0.0070789432246845625
train,I-NOME_BEBIDA,2190,0.014993119595801926
train,I-NOME_PESSOA,577,0.003950242012227266
train,I-NOME_ORGANIZACAO,1085,0.0074280980645868
train,B-NOME_LOCAL,3304,0.022619756686999802
val,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,29,0.0016142499304202616
val,I-GRADUACAO_ALCOOLICA,23,0.00128026718619538
val,B-VOLUME,249,0.013860283885332591
val,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,3,0.00016699137211244086
val,B-GRADUACAO_ALCOOLICA,112,0.006234344558864458
val,B-CARACTERISTICA_SENSORIAL_SABOR,78,0.004341775674923463
val,B-TIPO_MADEIRA,250,0.013915947676036738
val,I-NOME_LOCAL,190,0.010576120233787921
val,B-CARACTERISTICA_SENSORIAL_AROMA,89,0.004954077372669079
val,I-TIPO_MADEIRA,62,0.003451155023657111
val,I-TEMPO,22,0.001224603395491233
val,I-PRECO,267,0.014862232118007235
val,B-PRECO,93,0.005176732535485667
