label,test,train,val
B-CARACTERISTICA_SENSORIAL_AROMA,86,760,89
B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,19,230,29
B-CARACTERISTICA_SENSORIAL_COR,49,457,56
B-CARACTERISTICA_SENSORIAL_SABOR,80,748,78
B-CLASSIFICACAO_BEBIDA,147,1055,123
B-EQUIPAMENTO_DESTILACAO,33,231,28
B-GRADUACAO_ALCOOLICA,119,913,112
B-NOME_BEBIDA,331,2539,301
B-NOME_LOCAL,499,3304,429
B-NOME_ORGANIZACAO,113,769,92
B-NOME_PESSOA,69,613,61
B-PRECO,70,722,93
B-RECIPIENTE_ARMAZENAMENTO,107,796,88
B-TEMPO,161,1027,114
B-TEMPO_ARMAZENAMENTO,114,979,117
B-TIPO_MADEIRA,266,2041,250
B-VOLUME,282,2001,249
I-CARACTERISTICA_SENSORIAL_AROMA,66,415,42
I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,2,27,3
I-CARACTERISTICA_SENSORIAL_COR,24,247,33
I-CARACTERISTICA_SENSORIAL_SABOR,36,325,35
I-CLASSIFICACAO_BEBIDA,24,176,27
I-EQUIPAMENTO_DESTILACAO,28,217,37
I-GRADUACAO_ALCOOLICA,14,162,23
I-NOME_BEBIDA,301,2190,222
I-NOME_LOCAL,228,1626,190
I-NOME_ORGANIZACAO,180,1085,133
I-NOME_PESSOA,81,577,52
I-PRECO,201,2054,267
I-RECIPIENTE_ARMAZENAMENTO,34,305,23
I-TEMPO,34,255,22
I-TEMPO_ARMAZENAMENTO,128,1080,128
I-TIPO_MADEIRA,44,402,62
I-VOLUME,144,1034,130
O,14873,114705,14227
