split,space,a,b,cosine_distance
standard,labels,train,val,1.313860934948341e-05
standard,labels,train,test,3.4119454375813874e-05
standard,labels,val,test,5.1130904369367514e-05
standard,words,train,val,0.026027464671630196
standard,words,train,test,0.023644076949927206
standard,words,val,test,0.04125265972216963
heur_len,labels,train,val,3.4769962294678436e-05
heur_len,labels,train,test,5.210191140747611e-06
heur_len,labels,val,test,3.1740396470247845e-05
heur_len,words,train,val,0.0272432370849085
heur_len,words,train,test,0.014989672159896994
heur_len,words,val,test,0.03309501313554186
heur_rare,labels,train,val,1.7536443536636526e-05
heur_rare,labels,train,test,0.0005039928181672648
heur_rare,labels,val,test,0.0005895797761144017
heur_rare,words,train,val,0.02551232919561175
heur_rare,words,train,test,0.25774223571083177
heur_rare,words,val,test,0.2733685479129271
adversarial,labels,train,val,1.946569587107927e-05
adversarial,labels,train,test,2.5769480218484908e-05
adversarial,labels,val,test,3.698818388131464e-05
adversarial,words,train,val,0.02415210097657572
adversarial,words,train,test,0.05673257466004211
adversarial,words,val,test,0.07358150819273646
loc,labels,train,val,0.0011718672727800694
loc,labels,train,test,0.0013605347258970335
loc,labels,val,test,6.667748139022045e-05
loc,words,train,val,0.3437697270774316
loc,words,train,test,0.39392616161393046
loc,words,val,test,0.06219839710580077
semantic,labels,train,val,0.007090396464144333
semantic,labels,train,test,0.05090759955829782
semantic,labels,val,test,0.030843312816697832
semantic,words,train,val,0.8406900610024851
semantic,words,train,test,0.891904656232935
semantic,words,val,test,0.48638436891917336
reverse,labels,train,val,0.009178137670840858
reverse,labels,train,test,0.00147989142350613
reverse,labels,val,test,0.006413411400966074
reverse,words,train,val,0.8368433288703677
reverse,words,train,test,0.5027065084428607
reverse,words,val,test,0.3126833244247279
