split,label,precision,recall,f1,support
loc,LOC,0.9692393736017897,0.9569298729983434,0.9630452903584329,1811
loc,MISC,0.879162702188392,0.8716981132075472,0.8754144954997632,1060
loc,ORG,0.913573407202216,0.9321650650084794,0.9227756015668719,1769
loc,PER,0.9811788013868251,0.9802078179119248,0.9806930693069307,2021
reverse,LOC,0.8921148135928736,0.9156789705384355,0.9037433155080214,2953
reverse,MISC,0.9234248788368336,0.7311332821693528,0.8161050828098229,3909
reverse,ORG,0.7339743589743589,0.9020821609454136,0.8093915677859126,1777
reverse,PER,0.9563782991202346,0.9860166288737717,0.9709713435057685,2646
semantic,LOC,0.9774956722446624,0.9848837209302326,0.9811757891688386,1720
semantic,MISC,0.8068181818181818,0.7856154910096819,0.7960756832515767,723
semantic,ORG,0.9851282051282051,0.9761178861788617,0.9806023481368044,1968
semantic,PER,0.9723076923076923,0.9844236760124611,0.978328173374613,321
heur_len,LOC,0.9721638655462185,0.9798835362625727,0.9760084365937253,1889
heur_len,MISC,0.8984861976847729,0.9106498194945848,0.9045271178843568,1108
heur_len,ORG,0.9632819582955575,0.9520609318996416,0.9576385759351058,2232
heur_len,PER,0.9870194707938093,0.9904809619238477,0.9887471867966993,1996
heur_rare,LOC,0.958910227780259,0.9610564010743062,0.9599821149116924,2234
heur_rare,MISC,0.8960055096418733,0.8880546075085324,0.892012341446692,1465
heur_rare,ORG,0.9190361445783133,0.9185934489402697,0.9188147434353169,2076
heur_rare,PER,0.9778393351800554,0.9832869080779945,0.9805555555555555,2872
std,LOC,0.9365192582025678,0.9292285916489739,0.9328596802841919,1413
std,MISC,0.8203033838973163,0.8657635467980296,0.8424206111443978,812
std,ORG,0.8926728586171311,0.9062336301728654,0.8994021315310632,1909
std,PER,0.9675984752223634,0.957259585166562,0.9624012638230648,1591
std,LOC,0.9365192582025678,0.9292285916489739,0.9328596802841919,1413
std,MISC,0.8203033838973163,0.8657635467980296,0.8424206111443978,812
std,ORG,0.8926728586171311,0.9062336301728654,0.8994021315310632,1909
std,PER,0.9675984752223634,0.957259585166562,0.9624012638230648,1591
