split,label,count,prop
train,B-MISC,3977,0.018280350806229202
train,B-PER,7216,0.033168471565941646
train,I-ORG,3845,0.017673610472705877
train,I-LOC,1022,0.004697641067127544
train,B-LOC,6763,0.031086249057713875
train,O,181293,0.83331647943518
train,B-ORG,7004,0.03219400981816176
train,I-MISC,1418,0.006517862067697513
train,I-PER,5018,0.023065325709242676
val,B-MISC,585,0.01845018450184502
val,B-PER,1055,0.03327340965717349
val,I-ORG,686,0.02163560097139433
val,I-LOC,193,0.006086983946762545
val,B-LOC,1021,0.03220109124168165
val,O,26128,0.8240451635285584
val,B-ORG,1078,0.0339988015264768
val,I-MISC,236,0.007443151354590469
val,I-PER,725,0.02286561327151733
test,B-MISC,857,0.01639218836671066
test,B-PER,1676,0.032057535242248615
test,I-ORG,1074,0.020542835829460034
test,I-LOC,160,0.0030603852259903216
test,B-LOC,1615,0.030890763374839807
test,O,42847,0.8195520361125457
test,B-ORG,2410,0.046097052466479216
test,I-MISC,326,0.0062355348979552805
test,I-PER,1316,0.025171668483770393
