split,label,count,prop
train,B-MISC,3785,0.017903599640508965
train,B-PER,6907,0.032671113003169196
train,I-ORG,3851,0.0182157892247292
train,I-LOC,955,0.0045172886807625
train,B-LOC,6635,0.03138451350456459
train,B-ORG,7183,0.033976633082635634
train,O,175795,0.8315358781514592
train,I-MISC,1376,0.006508679816470366
train,I-PER,4923,0.023286504895700298
val,B-MISC,526,0.017688996502555825
val,B-PER,1044,0.035108958837772396
val,I-ORG,575,0.019336830777508744
val,I-LOC,137,0.004607210115684692
val,B-LOC,875,0.029425612052730695
val,B-ORG,1077,0.036218724778046815
val,O,24556,0.8258003766478342
val,I-MISC,189,0.006355932203389831
val,I-PER,757,0.025457358084476727
test,B-MISC,1108,0.018344978310540085
test,B-PER,1996,0.03304745190238088
test,I-ORG,1179,0.019520513924302128
test,I-LOC,283,0.004685585615417729
test,B-LOC,1889,0.03127587006192258
test,B-ORG,2232,0.03695486605516739
test,O,49917,0.8264677638332395
test,I-MISC,415,0.006871088446637306
test,I-PER,1379,0.022831881850392397
