split,label,count,prop
train,B-MISC,3448,0.01791047877286209
train,B-PER,6188,0.032143283830182896
train,I-LOC,868,0.004508786419618415
train,I-PER,4352,0.022606265550897862
train,B-LOC,6226,0.03234067309740121
train,B-ORG,7320,0.038023406211528575
train,O,159183,0.8268688348319334
train,I-MISC,1285,0.006674873904619428
train,I-ORG,3643,0.01892339738095609
val,B-MISC,506,0.01832802086351782
val,B-PER,887,0.032128368588814835
val,I-LOC,178,0.006447406548826427
val,I-PER,625,0.02263836569110403
val,B-LOC,939,0.03401188061431469
val,B-ORG,1096,0.03969863807592002
val,O,22589,0.8182048681541582
val,I-MISC,198,0.007171834250941756
val,I-ORG,590,0.0213706172124022
test,B-MISC,1465,0.01799245913316876
test,B-PER,2872,0.035272588826253025
test,I-LOC,329,0.004040627341168957
test,I-PER,2082,0.02557017059061936
test,B-LOC,2234,0.027436964985323557
test,B-ORG,2076,0.025496481338196823
test,O,68496,0.8412365056556501
test,I-MISC,497,0.006103926408999914
test,I-ORG,1372,0.016850275720619482
