split,label,count,prop
train,B-MISC,3784,0.018554112893735535
train,B-PER,6758,0.033136547287490686
train,I-LOC,1019,0.004996469619111129
train,I-PER,5056,0.024791119130741772
train,B-LOC,6583,0.032278468599223314
train,B-ORG,7763,0.03806437061154042
train,O,167417,0.820896912878045
train,I-MISC,1570,0.007698191660455812
train,I-ORG,3994,0.019583807319656376
val,B-MISC,572,0.018678770858505046
val,B-PER,1168,0.038141266368415895
val,I-LOC,91,0.002971622636580348
val,I-PER,835,0.027267086830160336
val,B-LOC,1005,0.03281846977761813
val,B-ORG,961,0.031381641250040816
val,O,25345,0.8276458870783399
val,I-MISC,162,0.0052901413969891915
val,I-ORG,484,0.015805113803350423
test,B-MISC,1063,0.015871119936694687
test,B-PER,2021,0.030174537527808052
test,I-LOC,265,0.003956582110276662
test,I-PER,1168,0.017438822282276004
test,B-LOC,1811,0.027039132836645417
test,B-ORG,1768,0.026397121399883542
test,O,57506,0.858593248428565
test,I-MISC,248,0.0037027636352777817
test,I-ORG,1127,0.016826671842572822
