split,label,count,prop
train,B-MISC,1039,0.005872710829753561
train,B-PER,6112,0.03454668776848293
train,I-ORG,3397,0.019200768709021026
train,I-LOC,361,0.0020404702690481574
train,B-LOC,4316,0.024395206873163013
train,B-ORG,7903,0.0446699073027357
train,O,149579,0.8454612254126159
train,I-MISC,348,0.00196699073027357
train,I-PER,3865,0.021846032104906172
val,B-MISC,471,0.013946877498445412
val,B-PER,1189,0.035207722602232684
val,I-ORG,707,0.020935121850108082
val,I-LOC,195,0.00577418495158568
val,B-LOC,2130,0.06307186639424359
val,B-ORG,812,0.02404429836250037
val,O,27180,0.804832548636404
val,I-MISC,174,0.0051523496491072225
val,I-PER,913,0.027035030055372954
test,B-MISC,3909,0.043025546762352374
test,B-PER,2646,0.02912396948917482
test,I-ORG,1501,0.016521193576436662
test,I-LOC,819,0.009014561984744587
test,B-LOC,2953,0.03250305438455527
test,B-ORG,1777,0.01955906794492202
test,O,73509,0.8090982135977899
test,I-MISC,1458,0.016047901555259595
test,I-PER,2281,0.02510649070476484
