split,label,count,prop
train,B-MISC,4095,0.016337326902131633
train,B-PER,8960,0.035746629802954684
train,I-LOC,941,0.0037541940451540578
train,I-PER,6536,0.026075889775905334
train,B-LOC,6819,0.02720494069490491
train,O,210218,0.8386813642765097
train,B-ORG,7355,0.02934335515633166
train,I-MISC,1412,0.0056332858573406265
train,I-ORG,4317,0.01722301348876734
val,B-MISC,601,0.024495618504177707
val,B-PER,666,0.02714489504789077
val,I-LOC,107,0.004361116771958427
val,I-PER,308,0.012553495007132667
val,B-LOC,860,0.03505196657835745
val,O,20010,0.8155695944568984
val,B-ORG,1169,0.04764621968616262
val,I-MISC,187,0.0076217648257591196
val,I-ORG,627,0.02555532912166293
test,B-MISC,723,0.027432083775990285
test,B-PER,321,0.01217938989224465
test,I-LOC,327,0.012407042039763241
test,I-PER,215,0.008157535286082866
test,B-LOC,1720,0.06526028228866293
test,O,20040,0.7603581727120959
test,B-ORG,1968,0.07466990438609804
test,I-MISC,381,0.014455911367430565
test,I-ORG,661,0.02507967825163151
