split,label,count,prop
train,B-MISC,4303,0.017856550029878494
train,B-PER,7945,0.0329700883075493
train,I-ORG,4388,0.01820928225217449
train,I-LOC,1092,0.004531571608790917
train,B-LOC,7536,0.03127282384967798
train,O,200270,0.8310786136378726
train,B-ORG,8237,0.03418182723590731
train,I-MISC,1558,0.0064653741451430845
train,I-PER,5647,0.023433868933005777
val,B-MISC,526,0.017162620725659095
val,B-PER,986,0.03217175672148264
val,I-ORG,614,0.020033933698773165
val,I-LOC,141,0.004600626468285043
val,B-LOC,937,0.03057295745236231
val,O,25414,0.8292221352127382
val,B-ORG,1144,0.0373270686504829
val,I-MISC,207,0.006754111198120595
val,I-PER,679,0.02215478987209606
test,B-MISC,590,0.019719251336898395
test,B-PER,1016,0.0339572192513369
test,I-ORG,603,0.02015374331550802
test,I-LOC,142,0.004745989304812835
test,B-LOC,926,0.030949197860962566
test,O,24584,0.8216577540106952
test,B-ORG,1111,0.03713235294117647
test,I-MISC,215,0.007185828877005348
test,I-PER,733,0.024498663101604277
