split,space,a,b,cosine_distance
standard,labels,train,val,1.2138771429803796e-05
standard,labels,train,test,1.782840185704515e-05
standard,labels,val,test,1.3913754097871767e-05
standard,words,train,val,0.04363767136010499
standard,words,train,test,0.03808930319616499
standard,words,val,test,0.06966498803808907
heur_len,labels,train,val,1.6915404169037807e-05
heur_len,labels,train,test,9.488324616002686e-06
heur_len,labels,val,test,1.1564481653958403e-05
heur_len,words,train,val,0.038863514660020915
heur_len,words,train,test,0.02237004653647945
heur_len,words,val,test,0.050600833744851914
heur_rare,labels,train,val,1.4872763365092467e-05
heur_rare,labels,train,test,0.00015675286271776834
heur_rare,labels,val,test,0.0002359625544474664
heur_rare,words,train,val,0.03887050354617272
heur_rare,words,train,test,0.12814596813974255
heur_rare,words,val,test,0.12556499632793705
adversarial,labels,train,val,2.0090462687472055e-05
adversarial,labels,train,test,0.0001695025958016183
adversarial,labels,val,test,0.00012856998327981373
adversarial,words,train,val,0.03835613586651121
adversarial,words,train,test,0.18014860216764605
adversarial,words,val,test,0.18734116216592545
loc,labels,train,val,7.42431894161788e-05
loc,labels,train,test,0.00024407791223290953
loc,labels,val,test,0.00020764815050755558
loc,words,train,val,0.1878368782785872
loc,words,train,test,0.1116012131671349
loc,words,val,test,0.14172854421632697
semantic,labels,train,val,0.0006094813556644096
semantic,labels,train,test,0.004263700369287471
semantic,labels,val,test,0.0019504311047057188
semantic,words,train,val,0.30963036398074517
semantic,words,train,test,0.6646953841322066
semantic,words,val,test,0.6787171865709023
reverse,labels,train,val,0.001585850229294472
reverse,labels,train,test,0.0017494535022493096
reverse,labels,val,test,0.001519470403348877
reverse,words,train,val,0.5143134960355402
reverse,words,train,test,0.1500174739416652
reverse,words,val,test,0.49941227092943175
