split_name,label,test_count,train_count,val_count,test_prop,train_prop,val_prop
adversarial,B-LOC,1615,6763,1021,0.0308907633748398,0.0310862490577138,0.0322010912416816
adversarial,B-MISC,857,3977,585,0.0163921883667106,0.0182803508062292,0.018450184501845
adversarial,B-ORG,2410,7004,1078,0.0460970524664792,0.0321940098181617,0.0339988015264768
adversarial,B-PER,1676,7216,1055,0.0320575352422486,0.0331684715659416,0.0332734096571734
adversarial,I-LOC,160,1022,193,0.0030603852259903,0.0046976410671275,0.0060869839467625
adversarial,I-MISC,326,1418,236,0.0062355348979552,0.0065178620676975,0.0074431513545904
adversarial,I-ORG,1074,3845,686,0.02054283582946,0.0176736104727058,0.0216356009713943
adversarial,I-PER,1316,5018,725,0.0251716684837703,0.0230653257092426,0.0228656132715173
adversarial,O,42847,181293,26128,0.8195520361125457,0.83331647943518,0.8240451635285584
heur_len,B-LOC,1889,6635,875,0.0312758700619225,0.0313845135045645,0.0294256120527306
heur_len,B-MISC,1108,3785,526,0.01834497831054,0.0179035996405089,0.0176889965025558
heur_len,B-ORG,2232,7183,1077,0.0369548660551673,0.0339766330826356,0.0362187247780468
heur_len,B-PER,1996,6907,1044,0.0330474519023808,0.0326711130031691,0.0351089588377723
heur_len,I-LOC,283,955,137,0.0046855856154177,0.0045172886807625,0.0046072101156846
heur_len,I-MISC,415,1376,189,0.0068710884466373,0.0065086798164703,0.0063559322033898
heur_len,I-ORG,1179,3851,575,0.0195205139243021,0.0182157892247292,0.0193368307775087
heur_len,I-PER,1379,4923,757,0.0228318818503923,0.0232865048957002,0.0254573580844767
heur_len,O,49917,175795,24556,0.8264677638332395,0.8315358781514592,0.8258003766478342
heur_rare,B-LOC,2234,6226,939,0.0274369649853235,0.0323406730974012,0.0340118806143146
heur_rare,B-MISC,1465,3448,506,0.0179924591331687,0.017910478772862,0.0183280208635178
heur_rare,B-ORG,2076,7320,1096,0.0254964813381968,0.0380234062115285,0.03969863807592
heur_rare,B-PER,2872,6188,887,0.035272588826253,0.0321432838301828,0.0321283685888148
heur_rare,I-LOC,329,868,178,0.0040406273411689,0.0045087864196184,0.0064474065488264
heur_rare,I-MISC,497,1285,198,0.0061039264089999,0.0066748739046194,0.0071718342509417
heur_rare,I-ORG,1372,3643,590,0.0168502757206194,0.018923397380956,0.0213706172124022
heur_rare,I-PER,2082,4352,625,0.0255701705906193,0.0226062655508978,0.022638365691104
heur_rare,O,68496,159183,22589,0.8412365056556501,0.8268688348319334,0.8182048681541582
loc,B-LOC,1811,6583,1005,0.0270391328366454,0.0322784685992233,0.0328184697776181
loc,B-MISC,1063,3784,572,0.0158711199366946,0.0185541128937355,0.018678770858505
loc,B-ORG,1768,7763,961,0.0263971213998835,0.0380643706115404,0.0313816412500408
loc,B-PER,2021,6758,1168,0.030174537527808,0.0331365472874906,0.0381412663684158
loc,I-LOC,265,1019,91,0.0039565821102766,0.0049964696191111,0.0029716226365803
loc,I-MISC,248,1570,162,0.0037027636352777,0.0076981916604558,0.0052901413969891
loc,I-ORG,1127,3994,484,0.0168266718425728,0.0195838073196563,0.0158051138033504
loc,I-PER,1168,5056,835,0.017438822282276,0.0247911191307417,0.0272670868301603
loc,O,57506,167417,25345,0.858593248428565,0.820896912878045,0.8276458870783399
reverse,B-LOC,2953,4316,2130,0.0325030543845552,0.024395206873163,0.0630718663942435
reverse,B-MISC,3909,1039,471,0.0430255467623523,0.0058727108297535,0.0139468774984454
reverse,B-ORG,1777,7903,812,0.019559067944922,0.0446699073027357,0.0240442983625003
reverse,B-PER,2646,6112,1189,0.0291239694891748,0.0345466877684829,0.0352077226022326
reverse,I-LOC,819,361,195,0.0090145619847445,0.0020404702690481,0.0057741849515856
reverse,I-MISC,1458,348,174,0.0160479015552595,0.0019669907302735,0.0051523496491072
reverse,I-ORG,1501,3397,707,0.0165211935764366,0.019200768709021,0.020935121850108
reverse,I-PER,2281,3865,913,0.0251064907047648,0.0218460321049061,0.0270350300553729
reverse,O,73509,149579,27180,0.8090982135977899,0.8454612254126159,0.804832548636404
semantic,B-LOC,1720,6819,860,0.0652602822886629,0.0272049406949049,0.0350519665783574
semantic,B-MISC,723,4095,601,0.0274320837759902,0.0163373269021316,0.0244956185041777
semantic,B-ORG,1968,7355,1169,0.074669904386098,0.0293433551563316,0.0476462196861626
semantic,B-PER,321,8960,666,0.0121793898922446,0.0357466298029546,0.0271448950478907
semantic,I-LOC,327,941,107,0.0124070420397632,0.003754194045154,0.0043611167719584
semantic,I-MISC,381,1412,187,0.0144559113674305,0.0056332858573406,0.0076217648257591
semantic,I-ORG,661,4317,627,0.0250796782516315,0.0172230134887673,0.0255553291216629
semantic,I-PER,215,6536,308,0.0081575352860828,0.0260758897759053,0.0125534950071326
semantic,O,20040,210218,20010,0.7603581727120959,0.8386813642765097,0.8155695944568984
standard,B-LOC,926,7536,937,0.0309491978609625,0.0312728238496779,0.0305729574523623
standard,B-MISC,590,4303,526,0.0197192513368983,0.0178565500298784,0.017162620725659
standard,B-ORG,1111,8237,1144,0.0371323529411764,0.0341818272359073,0.0373270686504829
standard,B-PER,1016,7945,986,0.0339572192513369,0.0329700883075493,0.0321717567214826
standard,I-LOC,142,1092,141,0.0047459893048128,0.0045315716087909,0.004600626468285
standard,I-MISC,215,1558,207,0.0071858288770053,0.006465374145143,0.0067541111981205
standard,I-ORG,603,4388,614,0.020153743315508,0.0182092822521744,0.0200339336987731
standard,I-PER,733,5647,679,0.0244986631016042,0.0234338689330057,0.022154789872096
standard,O,24584,200270,25414,0.8216577540106952,0.8310786136378726,0.8292221352127382
