label,test,train,val
B-BUSINESS,3.92026187349315e-05,9.121174807315182e-05,0.0
B-GOVERNMENT,0.0,1.1401468509143978e-05,0.0
B-LEGISLATION/ACT,9.800654683732874e-06,4.94063635396239e-05,5.196964972456086e-05
B-LOCATION,9.800654683732874e-06,1.9002447515239962e-05,0.0
B-MISCELLANEOUS,3.92026187349315e-05,5.700734254571989e-05,2.598482486228043e-05
B-PERSON,0.0,7.600979006095985e-06,0.0
I-BUSINESS,0.011672579728325852,0.031969717699639716,0.030168381665107578
I-COURT,0.0001078072015210616,0.0005434699989358629,0.00038977237293420645
I-GOVERNMENT,0.0021169414116863007,0.0036712728599443607,0.003949693379066625
I-LEGISLATION/ACT,0.00988886057588647,0.007939222571867256,0.008029310882444652
I-LOCATION,0.0023717584334633553,0.004879828521913623,0.005144995322731525
I-MISCELLANEOUS,0.006017601975811984,0.013780574938052022,0.014109759900218273
I-PERSON,0.0019797322461140403,0.003564859153859017,0.00485916224924644
O,0.9657467118803537,0.9334154239065992,0.9332709697536639
