split,label,count,prop
train,B-GOVERNMENT,2,7.054872800643404e-06
train,B-MISCELLANEOUS,15,5.2911546004825536e-05
train,B-BUSINESS,20,7.054872800643404e-05
train,B-LOCATION,4,1.4109745601286808e-05
train,I-LOCATION,1195,0.004215286498384434
train,I-PERSON,973,0.0034321956175130163
train,I-GOVERNMENT,941,0.0033193176527027217
train,I-COURT,159,0.0005608623876511506
train,B-LEGISLATION/ACT,10,3.527436400321702e-05
train,I-MISCELLANEOUS,3314,0.01168992423066612
train,O,267264,0.9427567620955795
train,I-LEGISLATION/ACT,2301,0.008116631157140237
train,I-BUSINESS,7294,0.025729121103946494
train,B-PERSON,0,0.0
val,B-GOVERNMENT,1,2.516166368920313e-05
val,B-MISCELLANEOUS,0,0.0
val,B-BUSINESS,5,0.00012580831844601566
val,B-LOCATION,1,2.516166368920313e-05
val,I-LOCATION,197,0.004956847746773017
val,I-PERSON,160,0.004025866190272501
val,I-GOVERNMENT,129,0.003245854615907204
val,I-COURT,0,0.0
val,B-LEGISLATION/ACT,2,5.032332737840626e-05
val,I-MISCELLANEOUS,554,0.013939561683818534
val,O,37057,0.9324157713308004
val,I-LEGISLATION/ACT,381,0.009586593865586393
val,I-BUSINESS,1254,0.031552726266260725
val,B-PERSON,2,5.032332737840626e-05
test,B-GOVERNMENT,0,0.0
test,B-MISCELLANEOUS,5,6.218364072779733e-05
test,B-BUSINESS,3,3.73101844366784e-05
test,B-LOCATION,1,1.2436728145559467e-05
test,I-LOCATION,332,0.004128993744325743
test,I-PERSON,194,0.0024127252602385366
test,I-GOVERNMENT,264,0.0032832962304276993
test,I-COURT,10,0.00012436728145559465
test,B-LEGISLATION/ACT,4,4.974691258223787e-05
test,I-MISCELLANEOUS,915,0.011379606253186911
test,O,75738,0.9419329162883828
test,I-LEGISLATION/ACT,725,0.009016627905530613
test,I-BUSINESS,2216,0.027559789570559778
test,B-PERSON,0,0.0
