label,test,train,val
B-BUSINESS,3.73101844366784e-05,7.054872800643404e-05,0.00012580831844601566
B-GOVERNMENT,0.0,7.054872800643404e-06,2.516166368920313e-05
B-LEGISLATION/ACT,4.974691258223787e-05,3.527436400321702e-05,5.032332737840626e-05
B-LOCATION,1.2436728145559467e-05,1.4109745601286808e-05,2.516166368920313e-05
B-MISCELLANEOUS,6.218364072779733e-05,5.2911546004825536e-05,0.0
B-PERSON,0.0,0.0,5.032332737840626e-05
I-BUSINESS,0.027559789570559778,0.025729121103946494,0.031552726266260725
I-COURT,0.00012436728145559465,0.0005608623876511506,0.0
I-GOVERNMENT,0.0032832962304276993,0.0033193176527027217,0.003245854615907204
I-LEGISLATION/ACT,0.009016627905530613,0.008116631157140237,0.009586593865586393
I-LOCATION,0.004128993744325743,0.004215286498384434,0.004956847746773017
I-MISCELLANEOUS,0.011379606253186911,0.01168992423066612,0.013939561683818534
I-PERSON,0.0024127252602385366,0.0034321956175130163,0.004025866190272501
O,0.9419329162883828,0.9427567620955795,0.9324157713308004
