split,label,count,prop
train,B-GOVERNMENT,2,7.40274641892142e-06
train,B-MISCELLANEOUS,13,4.811785172298923e-05
train,B-BUSINESS,12,4.441647851352852e-05
train,I-PERSON,813,0.003009216419291557
train,I-LOCATION,1000,0.00370137320946071
train,I-GOVERNMENT,877,0.0032461043046970424
train,I-COURT,121,0.0004478661583447459
train,B-LEGISLATION/ACT,8,2.961098567568568e-05
train,I-MISCELLANEOUS,2987,0.01105600177665914
train,O,255100,0.9442203057334271
train,I-LEGISLATION/ACT,2508,0.00928304400932746
train,I-BUSINESS,6729,0.024906540326461116
train,B-LOCATION,0,0.0
train,B-PERSON,0,0.0
val,B-GOVERNMENT,0,0.0
val,B-MISCELLANEOUS,5,0.0001268842308277927
val,B-BUSINESS,3,7.613053849667563e-05
val,I-PERSON,89,0.0022585393087347105
val,I-LOCATION,171,0.004339440694310511
val,I-GOVERNMENT,155,0.003933411155661574
val,I-COURT,7,0.00017763792315890982
val,B-LEGISLATION/ACT,5,0.0001268842308277927
val,I-MISCELLANEOUS,438,0.011115058620514642
val,O,37374,0.948434248591585
val,I-LEGISLATION/ACT,306,0.007765314926660914
val,I-BUSINESS,853,0.02164644977922144
val,B-LOCATION,0,0.0
val,B-PERSON,0,0.0
test,B-GOVERNMENT,1,1.06308336699764e-05
test,B-MISCELLANEOUS,2,2.12616673399528e-05
test,B-BUSINESS,13,0.0001382008377096932
test,I-PERSON,425,0.00451810430973997
test,I-LOCATION,553,0.005878851019496949
test,I-GOVERNMENT,302,0.0032105117683328727
test,I-COURT,41,0.0004358641804690324
test,B-LEGISLATION/ACT,3,3.18925010099292e-05
test,I-MISCELLANEOUS,1358,0.01443667212382795
test,O,87585,0.931101566984883
test,I-LEGISLATION/ACT,593,0.0063040843662960045
test,I-BUSINESS,3182,0.033827312737864906
test,B-LOCATION,6,6.37850020198584e-05
test,B-PERSON,2,2.12616673399528e-05
