label,test,train,val
B-BUSINESS,0.0001382008377096932,4.441647851352852e-05,7.613053849667563e-05
B-GOVERNMENT,1.06308336699764e-05,7.40274641892142e-06,0.0
B-LEGISLATION/ACT,3.18925010099292e-05,2.961098567568568e-05,0.0001268842308277927
B-LOCATION,6.37850020198584e-05,0.0,0.0
B-MISCELLANEOUS,2.12616673399528e-05,4.811785172298923e-05,0.0001268842308277927
B-PERSON,2.12616673399528e-05,0.0,0.0
I-BUSINESS,0.033827312737864906,0.024906540326461116,0.02164644977922144
I-COURT,0.0004358641804690324,0.0004478661583447459,0.00017763792315890982
I-GOVERNMENT,0.0032105117683328727,0.0032461043046970424,0.003933411155661574
I-LEGISLATION/ACT,0.0063040843662960045,0.00928304400932746,0.007765314926660914
I-LOCATION,0.005878851019496949,0.00370137320946071,0.004339440694310511
I-MISCELLANEOUS,0.01443667212382795,0.01105600177665914,0.011115058620514642
I-PERSON,0.00451810430973997,0.003009216419291557,0.0022585393087347105
O,0.931101566984883,0.9442203057334271,0.948434248591585
