split,label,count,prop
train,B-GOVERNMENT,2,6.102174815104103e-06
train,B-MISCELLANEOUS,15,4.5766311113280776e-05
train,B-BUSINESS,13,3.966413629817667e-05
train,B-PERSON,2,6.102174815104103e-06
train,B-LOCATION,4,1.2204349630208207e-05
train,I-PERSON,905,0.0027612341038346067
train,I-LOCATION,1413,0.0043111865068710484
train,I-GOVERNMENT,1205,0.003676560326100222
train,I-COURT,138,0.0004210500622421831
train,B-LEGISLATION/ACT,15,4.5766311113280776e-05
train,I-MISCELLANEOUS,4100,0.012509458370963412
train,O,308759,0.9420506968683638
train,I-LEGISLATION/ACT,3289,0.010035026483438698
train,I-BUSINESS,7892,0.02407918182040079
val,B-GOVERNMENT,0,0.0
val,B-MISCELLANEOUS,1,2.7971245559564768e-05
val,B-BUSINESS,2,5.5942491119129537e-05
val,B-PERSON,0,0.0
val,B-LOCATION,0,0.0
val,I-PERSON,56,0.001566389751335627
val,I-LOCATION,148,0.004139744342815586
val,I-GOVERNMENT,65,0.00181813096137171
val,I-COURT,7,0.00019579871891695338
val,B-LEGISLATION/ACT,0,0.0
val,I-MISCELLANEOUS,264,0.007384408827725099
val,O,34391,0.9619591060389919
val,I-LEGISLATION/ACT,62,0.0017342172246930156
val,I-BUSINESS,755,0.0211182903974714
test,B-GOVERNMENT,1,2.4913425845187973e-05
test,B-MISCELLANEOUS,4,9.96537033807519e-05
test,B-BUSINESS,13,0.00032387453598744365
test,B-PERSON,0,0.0
test,B-LOCATION,2,4.982685169037595e-05
test,I-PERSON,366,0.009118313859338797
test,I-LOCATION,163,0.00406088841276564
test,I-GOVERNMENT,64,0.0015944592540920303
test,I-COURT,24,0.0005979222202845113
test,B-LEGISLATION/ACT,1,2.4913425845187973e-05
test,I-MISCELLANEOUS,419,0.010438725429133761
test,O,36909,0.9195296345200429
test,I-LEGISLATION/ACT,56,0.0013951518473305263
test,I-BUSINESS,2117,0.052741722514262936
