label,test,train,val
B-BUSINESS,0.00032387453598744365,3.966413629817667e-05,5.5942491119129537e-05
B-GOVERNMENT,2.4913425845187973e-05,6.102174815104103e-06,0.0
B-LEGISLATION/ACT,2.4913425845187973e-05,4.5766311113280776e-05,0.0
B-LOCATION,4.982685169037595e-05,1.2204349630208207e-05,0.0
B-MISCELLANEOUS,9.96537033807519e-05,4.5766311113280776e-05,2.7971245559564768e-05
B-PERSON,0.0,6.102174815104103e-06,0.0
I-BUSINESS,0.052741722514262936,0.02407918182040079,0.0211182903974714
I-COURT,0.0005979222202845113,0.0004210500622421831,0.00019579871891695338
I-GOVERNMENT,0.0015944592540920303,0.003676560326100222,0.00181813096137171
I-LEGISLATION/ACT,0.0013951518473305263,0.010035026483438698,0.0017342172246930156
I-LOCATION,0.00406088841276564,0.0043111865068710484,0.004139744342815586
I-MISCELLANEOUS,0.010438725429133761,0.012509458370963412,0.007384408827725099
I-PERSON,0.009118313859338797,0.0027612341038346067,0.001566389751335627
O,0.9195296345200429,0.9420506968683638,0.9619591060389919
