split,label,count,prop
train,B-MISCELLANEOUS,1,4.629158141300423e-06
train,B-BUSINESS,5,2.3145790706502115e-05
train,I-LOCATION,60,0.0002777494884780254
train,I-PERSON,24,0.00011109979539121016
train,I-GOVERNMENT,38,0.0001759080093694161
train,I-COURT,2,9.258316282600847e-06
train,I-MISCELLANEOUS,575,0.0026617659312477434
train,O,213443,0.9880614011535862
train,I-LEGISLATION/ACT,264,0.0012220977493033118
train,I-BUSINESS,1610,0.007452944607493681
train,B-GOVERNMENT,0,0.0
train,B-LEGISLATION/ACT,0,0.0
train,B-LOCATION,0,0.0
train,B-PERSON,0,0.0
val,B-MISCELLANEOUS,2,4.181038988188565e-05
val,B-BUSINESS,1,2.0905194940942824e-05
val,I-LOCATION,221,0.004620048081948364
val,I-PERSON,134,0.0028012961220863384
val,I-GOVERNMENT,154,0.003219400020905195
val,I-COURT,4,8.36207797637713e-05
val,I-MISCELLANEOUS,1036,0.021657781958816767
val,O,44273,0.9255356956203616
val,I-LEGISLATION/ACT,778,0.016264241664053516
val,I-BUSINESS,1229,0.02569248458241873
val,B-GOVERNMENT,0,0.0
val,B-LEGISLATION/ACT,3,6.271558482282847e-05
val,B-LOCATION,0,0.0
val,B-PERSON,0,0.0
test,B-MISCELLANEOUS,17,0.00012161533784025468
test,B-BUSINESS,22,0.00015738455485209428
test,I-LOCATION,1443,0.010322996029616912
test,I-PERSON,1169,0.0083628429373681
test,I-GOVERNMENT,1142,0.008169689165504167
test,I-COURT,163,0.0011660764745859713
test,I-MISCELLANEOUS,3172,0.02269199127231105
test,O,122343,0.8752226633758987
test,I-LEGISLATION/ACT,2365,0.016918839646600136
test,I-BUSINESS,7925,0.056694208963765785
test,B-GOVERNMENT,3,2.1461530207103767e-05
test,B-LEGISLATION/ACT,13,9.299996423078298e-05
test,B-LOCATION,6,4.2923060414207534e-05
test,B-PERSON,2,1.4307686804735844e-05
