label,test,train,val
B-BUSINESS,0.00015738455485209428,2.3145790706502115e-05,2.0905194940942824e-05
B-GOVERNMENT,2.1461530207103767e-05,0.0,0.0
B-LEGISLATION/ACT,9.299996423078298e-05,0.0,6.271558482282847e-05
B-LOCATION,4.2923060414207534e-05,0.0,0.0
B-MISCELLANEOUS,0.00012161533784025468,4.629158141300423e-06,4.181038988188565e-05
B-PERSON,1.4307686804735844e-05,0.0,0.0
I-BUSINESS,0.056694208963765785,0.007452944607493681,0.02569248458241873
I-COURT,0.0011660764745859713,9.258316282600847e-06,8.36207797637713e-05
I-GOVERNMENT,0.008169689165504167,0.0001759080093694161,0.003219400020905195
I-LEGISLATION/ACT,0.016918839646600136,0.0012220977493033118,0.016264241664053516
I-LOCATION,0.010322996029616912,0.0002777494884780254,0.004620048081948364
I-MISCELLANEOUS,0.02269199127231105,0.0026617659312477434,0.021657781958816767
I-PERSON,0.0083628429373681,0.00011109979539121016,0.0028012961220863384
O,0.8752226633758987,0.9880614011535862,0.9255356956203616
