split,label,count,prop
train,B-GOVERNMENT,1,3.2250990105396234e-06
train,B-MISCELLANEOUS,15,4.8376485158094355e-05
train,B-BUSINESS,21,6.77270792213321e-05
train,B-PERSON,2,6.450198021079247e-06
train,B-LOCATION,6,1.9350594063237743e-05
train,I-LOCATION,1310,0.004224879703806907
train,I-PERSON,902,0.0029090393075067405
train,I-GOVERNMENT,1133,0.0036540371789413936
train,I-COURT,118,0.0003805616832436756
train,B-LEGISLATION/ACT,16,5.1601584168633974e-05
train,I-MISCELLANEOUS,3679,0.011865139259775274
train,O,292965,0.9448411316227409
train,I-LEGISLATION/ACT,2644,0.008527161783866765
train,I-BUSINESS,7256,0.02340131842047551
val,B-GOVERNMENT,0,0.0
val,B-MISCELLANEOUS,1,2.508277315139962e-05
val,B-BUSINESS,0,0.0
val,B-PERSON,0,0.0
val,B-LOCATION,0,0.0
val,I-LOCATION,75,0.0018812079863549714
val,I-PERSON,138,0.0034614226948931474
val,I-GOVERNMENT,17,0.00042640714357379355
val,I-COURT,9,0.00022574495836259656
val,B-LEGISLATION/ACT,0,0.0
val,I-MISCELLANEOUS,88,0.0022072840373231666
val,O,39028,0.9789304705528243
val,I-LEGISLATION/ACT,179,0.0044898163941005315
val,I-BUSINESS,333,0.008352563459416073
test,B-GOVERNMENT,2,3.7239786988418424e-05
test,B-MISCELLANEOUS,4,7.447957397683685e-05
test,B-BUSINESS,7,0.0001303392544594645
test,B-PERSON,0,0.0
test,B-LOCATION,0,0.0
test,I-LOCATION,339,0.006312143894536923
test,I-PERSON,287,0.005343909432838044
test,I-GOVERNMENT,184,0.003426060402934495
test,I-COURT,42,0.000782035526756787
test,B-LEGISLATION/ACT,0,0.0
test,I-MISCELLANEOUS,1016,0.018917811790116562
test,O,48066,0.89498380069266
test,I-LEGISLATION/ACT,584,0.01087401780061818
test,I-BUSINESS,3175,0.05911816184411425
