label,test,train,val
B-BUSINESS,0.0001303392544594645,6.77270792213321e-05,0.0
B-GOVERNMENT,3.7239786988418424e-05,3.2250990105396234e-06,0.0
B-LEGISLATION/ACT,0.0,5.1601584168633974e-05,0.0
B-LOCATION,0.0,1.9350594063237743e-05,0.0
B-MISCELLANEOUS,7.447957397683685e-05,4.8376485158094355e-05,2.508277315139962e-05
B-PERSON,0.0,6.450198021079247e-06,0.0
I-BUSINESS,0.05911816184411425,0.02340131842047551,0.008352563459416073
I-COURT,0.000782035526756787,0.0003805616832436756,0.00022574495836259656
I-GOVERNMENT,0.003426060402934495,0.0036540371789413936,0.00042640714357379355
I-LEGISLATION/ACT,0.01087401780061818,0.008527161783866765,0.0044898163941005315
I-LOCATION,0.006312143894536923,0.004224879703806907,0.0018812079863549714
I-MISCELLANEOUS,0.018917811790116562,0.011865139259775274,0.0022072840373231666
I-PERSON,0.005343909432838044,0.0029090393075067405,0.0034614226948931474
O,0.89498380069266,0.9448411316227409,0.9789304705528243
