split,label,count,prop
train,B-GOVERNMENT,3,9.282695199608889e-06
train,B-MISCELLANEOUS,17,5.260193946445037e-05
train,B-BUSINESS,22,6.807309813046519e-05
train,B-LOCATION,5,1.5471158666014814e-05
train,I-LOCATION,1384,0.004282416718752901
train,I-GOVERNMENT,1069,0.0033077337227939677
train,I-PERSON,1080,0.0033417702718592
train,I-COURT,159,0.0004919828455792712
train,B-LEGISLATION/ACT,11,3.4036549065232595e-05
train,I-MISCELLANEOUS,3791,0.011730232500572433
train,O,304769,0.9430259110965339
train,I-LEGISLATION/ACT,2718,0.008410121850845654
train,I-BUSINESS,8154,0.025230365552536962
train,B-PERSON,0,0.0
val,B-GOVERNMENT,0,0.0
val,B-MISCELLANEOUS,0,0.0
val,B-BUSINESS,1,2.487129106871938e-05
val,B-LOCATION,1,2.487129106871938e-05
val,I-LOCATION,171,0.004252990772751013
val,I-GOVERNMENT,114,0.002835327181834009
val,I-PERSON,133,0.003307881712139677
val,I-COURT,4,9.948516427487751e-05
val,B-LEGISLATION/ACT,2,4.974258213743876e-05
val,I-MISCELLANEOUS,469,0.011664635511229388
val,O,37921,0.9431442286169075
val,I-LEGISLATION/ACT,336,0.00835675379908971
val,I-BUSINESS,1053,0.026189469495361505
val,B-PERSON,2,4.974258213743876e-05
test,B-GOVERNMENT,0,0.0
test,B-MISCELLANEOUS,3,7.452860656348595e-05
test,B-BUSINESS,5,0.0001242143442724766
test,B-LOCATION,0,0.0
test,I-LOCATION,169,0.004198444836409709
test,I-GOVERNMENT,151,0.003751273197028793
test,I-PERSON,114,0.0028320870494124664
test,I-COURT,6,0.0001490572131269719
test,B-LEGISLATION/ACT,3,7.452860656348595e-05
test,I-MISCELLANEOUS,523,0.012992820410901051
test,O,37369,0.9283531662236355
test,I-LEGISLATION/ACT,353,0.008769532705636848
test,I-BUSINESS,1557,0.03868034680644921
test,B-PERSON,0,0.0
