label,test,train,val
B-BUSINESS,0.0001242143442724766,6.807309813046519e-05,2.487129106871938e-05
B-GOVERNMENT,0.0,9.282695199608889e-06,0.0
B-LEGISLATION/ACT,7.452860656348595e-05,3.4036549065232595e-05,4.974258213743876e-05
B-LOCATION,0.0,1.5471158666014814e-05,2.487129106871938e-05
B-MISCELLANEOUS,7.452860656348595e-05,5.260193946445037e-05,0.0
B-PERSON,0.0,0.0,4.974258213743876e-05
I-BUSINESS,0.03868034680644921,0.025230365552536962,0.026189469495361505
I-COURT,0.0001490572131269719,0.0004919828455792712,9.948516427487751e-05
I-GOVERNMENT,0.003751273197028793,0.0033077337227939677,0.002835327181834009
I-LEGISLATION/ACT,0.008769532705636848,0.008410121850845654,0.00835675379908971
I-LOCATION,0.004198444836409709,0.004282416718752901,0.004252990772751013
I-MISCELLANEOUS,0.012992820410901051,0.011730232500572433,0.011664635511229388
I-PERSON,0.0028320870494124664,0.0033417702718592,0.003307881712139677
O,0.9283531662236355,0.9430259110965339,0.9431442286169075
