split,space,a,b,cosine_distance
standard,labels,train,val,7.344925572194683e-07
standard,labels,train,test,0.000112534713174961
standard,labels,val,test,9.84321360577578e-05
standard,words,train,val,0.02750314694742617
standard,words,train,test,0.027711176880490407
standard,words,val,test,0.046746734978185156
heur_len,labels,train,val,2.679218840850872e-05
heur_len,labels,train,test,3.1394732968870187e-06
heur_len,labels,val,test,1.6810999875715993e-05
heur_len,words,train,val,0.025543418775153537
heur_len,words,train,test,0.015107116415478461
heur_len,words,val,test,0.03210663296616656
heur_rare,labels,train,val,8.497749441227498e-06
heur_rare,labels,train,test,6.552475277965542e-05
heur_rare,labels,val,test,0.00010402243191376392
heur_rare,words,train,val,0.024027040664851618
heur_rare,words,train,test,0.05232840794236804
heur_rare,words,val,test,0.0680315848333235
adversarial,labels,train,val,2.9816575223273745e-06
adversarial,labels,train,test,0.00029010699999765244
adversarial,labels,val,test,0.0002570447027111511
adversarial,words,train,val,0.028137431419380965
adversarial,words,train,test,0.10244903032545682
adversarial,words,val,test,0.11444135403799593
loc,labels,train,val,6.422696655628002e-05
loc,labels,train,test,0.0005738218977514586
loc,labels,val,test,0.0006655549911036562
loc,words,train,val,0.07190307831302778
loc,words,train,test,0.20094117445982174
loc,words,val,test,0.1721129925547661
semantic,labels,train,val,0.00020379975455353527
semantic,labels,train,test,0.0008968239617869189
semantic,labels,val,test,0.001875523137948365
semantic,words,train,val,0.18705262047776172
semantic,words,train,test,0.2682263304940411
semantic,words,val,test,0.40941596020318916
reverse,labels,train,val,0.0005721367859560234
reverse,labels,train,test,0.002215145063729218
reverse,labels,val,test,0.0007476796732696078
reverse,words,train,val,0.10292069908225532
reverse,words,train,test,0.2102161426121003
reverse,words,val,test,0.1417207926907842
