split,label,precision,recall,f1,support
loc,ambienteSedimentacao,0.6,0.5,0.5454545454545454,6
loc,baciaSedimentar,0.7543859649122807,0.8269230769230769,0.7889908256880734,52
loc,bentonico,0.6666666666666666,0.36363636363636365,0.4705882352941177,11
loc,campoPetrolifero,0.0,0.0,0.0,3
loc,constituinteRochaSedimentar,0.75,1.0,0.8571428571428571,3
loc,contextoGeologicoDeBacia,0.8131868131868132,0.74,0.774869109947644,100
loc,elementoQuimico,1.0,0.7142857142857143,0.8333333333333333,7
loc,eon,0.9032258064516129,0.9655172413793104,0.9333333333333333,29
loc,epoca,0.967741935483871,0.975609756097561,0.97165991902834,123
loc,era,0.9104477611940298,0.9682539682539683,0.9384615384615386,63
loc,estratigrafia,0.95,0.95,0.9500000000000001,20
loc,estruturaGeologica,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
loc,estruturaSedimentar,0.6666666666666666,1.0,0.8,2
loc,fosseis,0.375,0.75,0.5,4
loc,geomorfologia,1.0,0.7272727272727273,0.8421052631578948,11
loc,granulometria,0.84,0.84,0.8399999999999999,25
loc,idade,0.8830409356725146,0.9741935483870968,0.9263803680981595,155
loc,magmaticas,0.8571428571428571,0.9523809523809523,0.9022556390977443,126
loc,metamorficas,0.8351648351648352,0.8636363636363636,0.8491620111731844,88
loc,mineral,0.9642857142857143,1.0,0.9818181818181818,27
loc,periodo,0.9285714285714286,0.883495145631068,0.9054726368159205,103
loc,planctonico,0.65625,0.9130434782608695,0.7636363636363634,23
loc,procedimentoMetodologico,0.9375,0.967741935483871,0.9523809523809523,31
loc,sedimentaresCarbonaticas,0.7692307692307693,0.8333333333333334,0.8,36
loc,sedimentaresOrganicas,0.0,0.0,0.0,1
loc,sedimentaresQuimicas,0.0,0.0,0.0,2
loc,sedimentaresSiliciclasticas,0.8362068965517241,0.8660714285714286,0.8508771929824562,112
loc,sistemaPetrolifero,0.7333333333333333,0.88,0.8,25
loc,unidadeEstratigrafica,0.6724137931034483,0.7222222222222222,0.6964285714285714,54
loc,unidadeGeotectonica,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
reverse,ambienteSedimentacao,1.0,0.017857142857142856,0.03508771929824561,112
reverse,baciaSedimentar,0.7218045112781954,0.6254071661237784,0.6701570680628273,307
reverse,bentonico,0.0,0.0,0.0,27
reverse,campoPetrolifero,0.0,0.0,0.0,5
reverse,constituinteRochaSedimentar,0.9615384615384616,0.44642857142857145,0.6097560975609756,56
reverse,contextoGeologicoDeBacia,0.5431034482758621,0.5869565217391305,0.5641791044776121,322
reverse,elementoQuimico,1.0,0.058823529411764705,0.1111111111111111,17
reverse,eon,0.8888888888888888,0.8205128205128205,0.8533333333333333,78
reverse,epoca,0.9090909090909091,0.8482142857142857,0.8775981524249422,224
reverse,era,0.8582089552238806,0.9349593495934959,0.8949416342412452,123
reverse,estratigrafia,0.7319587628865979,0.6283185840707964,0.6761904761904761,113
reverse,estruturaGeologica,0.0,0.0,0.0,70
reverse,estruturaSedimentar,0.0,0.0,0.0,74
reverse,fosseis,0.8181818181818182,0.28125,0.41860465116279066,96
reverse,geomorfologia,1.0,0.8076923076923077,0.8936170212765957,26
reverse,granulometria,0.8363636363636363,0.5348837209302325,0.652482269503546,86
reverse,idade,0.8944099378881988,0.9028213166144201,0.8985959438377535,319
reverse,magmaticas,0.9243243243243243,0.6923076923076923,0.7916666666666666,247
reverse,metamorficas,0.792,0.5625,0.6578073089700996,176
reverse,mineral,0.918918918918919,0.68,0.7816091954022989,100
reverse,periodo,0.8883248730964467,0.8454106280193237,0.8663366336633662,207
reverse,planctonico,0.825,0.673469387755102,0.7415730337078652,49
reverse,procedimentoMetodologico,0.9821428571428571,0.9016393442622951,0.9401709401709402,61
reverse,sedimentaresCarbonaticas,0.5664739884393064,0.5414364640883977,0.5536723163841808,181
reverse,sedimentaresOrganicas,0.0,0.0,0.0,18
reverse,sedimentaresQuimicas,0.0,0.0,0.0,11
reverse,sedimentaresSiliciclasticas,0.7342192691029901,0.7607573149741824,0.7472527472527473,581
reverse,sistemaPetrolifero,0.8571428571428571,0.8571428571428571,0.8571428571428571,35
reverse,unidadeEstratigrafica,0.8318318318318318,0.5148698884758365,0.6360505166475316,538
reverse,unidadeGeotectonica,0.0,0.0,0.0,25
semantic,ambienteSedimentacao,0.6666666666666666,0.5,0.5714285714285715,4
semantic,baciaSedimentar,0.926829268292683,1.0,0.9620253164556963,38
semantic,bentonico,0.0,0.0,0.0,2
semantic,campoPetrolifero,1.0,1.0,1.0,1
