split,label,count,prop
train,B-ambienteSedimentacao,45,0.00040567951318458417
train,I-sedimentaresCarbonaticas,43,0.00038764931259860266
train,B-sedimentaresQuimicas,4,3.606040117196304e-05
train,B-sedimentaresCarbonaticas,177,0.0015956727518593645
train,B-era,340,0.0030651340996168583
train,I-estratigrafia,14,0.00012621140410187063
train,B-estruturaSedimentar,19,0.00017128690556682442
train,I-metamorficas,41,0.00036961911201262114
train,I-sistemaPetrolifero,44,0.00039666441289159344
train,B-epoca,525,0.004732927653820149
train,B-planctonico,88,0.0007933288257831869
train,B-magmaticas,431,0.0038855082262790174
train,I-sedimentaresQuimicas,2,1.803020058598152e-05
train,I-unidadeGeotectonica,18,0.00016227180527383366
train,I-estruturaSedimentar,12,0.00010818120351588912
train,B-campoPetrolifero,4,3.606040117196304e-05
train,I-sedimentaresSiliciclasticas,104,0.000937570430471039
train,I-campoPetrolifero,4,3.606040117196304e-05
train,B-elementoQuimico,22,0.00019833220644579672
train,I-procedimentoMetodologico,2,1.803020058598152e-05
train,I-baciaSedimentar,314,0.0028307414919990985
train,I-estruturaGeologica,98,0.0008834798287130944
train,B-baciaSedimentar,332,0.002993013297272932
train,B-contextoGeologicoDeBacia,389,0.0035068740139734054
train,O,103653,0.9344421906693712
train,B-eon,208,0.001875140860942078
train,I-bentonico,3,2.704530087897228e-05
train,B-procedimentoMetodologico,117,0.001054766734279919
train,B-granulometria,42,0.0003786342123056119
train,I-granulometria,4,3.606040117196304e-05
train,I-constituinteRochaSedimentar,3,2.704530087897228e-05
train,B-sedimentaresOrganicas,14,0.00012621140410187063
train,I-periodo,4,3.606040117196304e-05
train,B-fosseis,65,0.0005859815190443993
train,I-idade,11,9.916610322289836e-05
train,B-sedimentaresSiliciclasticas,473,0.004264142438584629
train,B-metamorficas,268,0.0024160468785215236
train,B-geomorfologia,37,0.0003335587108406581
train,B-unidadeEstratigrafica,435,0.00392156862745098
train,I-unidadeEstratigrafica,523,0.004714897453234167
train,B-sistemaPetrolifero,74,0.0006671174216813162
