label,test,train,val
B-ambienteSedimentacao,91,45,10
B-baciaSedimentar,174,332,45
B-bentonico,6,16,5
B-campoPetrolifero,0,4,2
B-constituinteRochaSedimentar,85,24,3
B-contextoGeologicoDeBacia,210,389,61
B-elementoQuimico,4,22,0
B-eon,22,208,26
B-epoca,86,525,75
B-era,43,340,31
B-estratigrafia,139,92,16
B-estruturaGeologica,16,57,5
B-estruturaSedimentar,58,19,7
B-fosseis,59,65,8
B-geomorfologia,13,37,4
B-granulometria,82,42,5
B-idade,97,621,78
B-magmaticas,56,431,91
B-metamorficas,62,268,47
B-mineral,45,145,22
B-periodo,88,545,78
B-planctonico,14,88,9
B-procedimentoMetodologico,37,117,12
B-sedimentaresCarbonaticas,145,177,33
B-sedimentaresOrganicas,7,14,1
B-sedimentaresQuimicas,7,4,1
B-sedimentaresSiliciclasticas,530,473,95
B-sistemaPetrolifero,13,74,6
B-unidadeEstratigrafica,274,435,53
B-unidadeGeotectonica,8,16,4
I-ambienteSedimentacao,83,16,2
I-baciaSedimentar,169,314,29
I-bentonico,3,3,2
I-campoPetrolifero,0,4,2
I-constituinteRochaSedimentar,20,3,0
I-contextoGeologicoDeBacia,127,207,47
I-epoca,21,118,32
I-era,1,10,0
I-estratigrafia,19,14,2
I-estruturaGeologica,37,98,11
I-estruturaSedimentar,76,12,8
I-fosseis,20,29,5
I-granulometria,12,4,0
I-idade,4,11,3
I-magmaticas,2,17,3
I-metamorficas,9,41,7
I-mineral,2,0,0
I-periodo,5,4,0
I-planctonico,1,6,3
I-procedimentoMetodologico,5,2,0
I-sedimentaresCarbonaticas,44,43,10
I-sedimentaresQuimicas,5,2,2
I-sedimentaresSiliciclasticas,160,104,10
I-sistemaPetrolifero,2,44,4
I-unidadeEstratigrafica,318,523,65
I-unidadeGeotectonica,9,18,4
O,35810,103653,15018
