label,test,train,val
B-ambienteSedimentacao,0.0023075947762140232,0.00040567951318458417,0.0006210408644888834
B-baciaSedimentar,0.004412324077596044,0.002993013297272932,0.002794683890199975
B-bentonico,0.0001521491061240015,0.00014424160468785215,0.0003105204322444417
B-campoPetrolifero,0.0,3.606040117196304e-05,0.00012420817289777666
B-constituinteRochaSedimentar,0.0021554456700900214,0.00021636240703177824,0.00018631225934666502
B-contextoGeologicoDeBacia,0.005325218714340053,0.0035068740139734054,0.0037883492733821887
B-elementoQuimico,0.00010143273741600101,0.00019833220644579672,0.0
B-eon,0.0005578800557880056,0.001875140860942078,0.0016147062476710968
B-epoca,0.002180803854444022,0.004732927653820149,0.004657806483666625
B-era,0.001090401927222011,0.0030651340996168583,0.0019252266799155385
B-estratigrafia,0.003524787625206035,0.0008293892269551499,0.0009936653831822133
B-estruturaGeologica,0.00040573094966400404,0.0005138607167004733,0.0003105204322444417
B-estruturaSedimentar,0.0014707746925320148,0.00017128690556682442,0.00043472860514221835
B-fosseis,0.001496132876886015,0.0005859815190443993,0.0004968326915911067
B-geomorfologia,0.0003296563966020033,0.0003335587108406581,0.0002484163457955533
B-granulometria,0.002079371117028021,0.0003786342123056119,0.0003105204322444417
B-idade,0.0024597438823380246,0.005598377281947261,0.00484411874301329
B-magmaticas,0.0014200583238240141,0.0038855082262790174,0.005651471866848838
B-metamorficas,0.0015722074299480157,0.0024160468785215236,0.002918892063097752
B-mineral,0.0011411182959300114,0.00130718954248366,0.0013662899018755433
B-periodo,0.0022315202231520223,0.004913229659679964,0.00484411874301329
B-planctonico,0.00035501458095600353,0.0007933288257831869,0.0005589367780399951
B-procedimentoMetodologico,0.0009382528210980093,0.001054766734279919,0.0007452490373866601
B-sedimentaresCarbonaticas,0.003676936731330037,0.0015956727518593645,0.002049434852813315
B-sedimentaresOrganicas,0.00017750729047800177,0.00012621140410187063,6.210408644888833e-05
B-sedimentaresQuimicas,0.00017750729047800177,3.606040117196304e-05,6.210408644888833e-05
B-sedimentaresSiliciclasticas,0.013439837707620134,0.004264142438584629,0.005899888212644392
B-sistemaPetrolifero,0.0003296563966020033,0.0006671174216813162,0.00037262451869333004
B-unidadeEstratigrafica,0.006948142512996069,0.00392156862745098,0.003291516581791082
B-unidadeGeotectonica,0.00020286547483200202,0.00014424160468785215,0.0002484163457955533
I-ambienteSedimentacao,0.002104729301382021,0.00014424160468785215,0.00012420817289777666
I-baciaSedimentar,0.004285533155826043,0.0028307414919990985,0.0018010185070177617
I-bentonico,7.607455306200075e-05,2.704530087897228e-05,0.00012420817289777666
I-campoPetrolifero,0.0,3.606040117196304e-05,0.00012420817289777666
I-constituinteRochaSedimentar,0.0005071636870800051,2.704530087897228e-05,0.0
I-contextoGeologicoDeBacia,0.0032204894129580323,0.0018661257606490873,0.002918892063097752
I-epoca,0.0005325218714340054,0.0010637818345729097,0.0019873307663644266
I-era,2.5358184354000253e-05,9.015100292990759e-05,0.0
I-estratigrafia,0.00048180550272600484,0.00012621140410187063,0.00012420817289777666
I-estruturaGeologica,0.0009382528210980093,0.0008834798287130944,0.0006831449509377717
I-estruturaSedimentar,0.0019272220109040194,0.00010818120351588912,0.0004968326915911067
I-fosseis,0.0005071636870800051,0.00026143790849673205,0.0003105204322444417
I-granulometria,0.000304298212248003,3.606040117196304e-05,0.0
I-idade,0.00010143273741600101,9.916610322289836e-05,0.00018631225934666502
I-magmaticas,5.0716368708000506e-05,0.0001532567049808429,0.00018631225934666502
I-metamorficas,0.00022822365918600228,0.00036961911201262114,0.00043472860514221835
I-mineral,5.0716368708000506e-05,0.0,0.0
I-periodo,0.00012679092177000128,3.606040117196304e-05,0.0
I-planctonico,2.5358184354000253e-05,5.409060175794456e-05,0.00018631225934666502
I-procedimentoMetodologico,0.00012679092177000128,1.803020058598152e-05,0.0
I-sedimentaresCarbonaticas,0.0011157601115760112,0.00038764931259860266,0.0006210408644888834
I-sedimentaresQuimicas,0.00012679092177000128,1.803020058598152e-05,0.00012420817289777666
I-sedimentaresSiliciclasticas,0.004057309496640041,0.000937570430471039,0.0006210408644888834
I-sistemaPetrolifero,5.0716368708000506e-05,0.00039666441289159344,0.0002484163457955533
I-unidadeEstratigrafica,0.008063902624572081,0.004714897453234167,0.0040367656191777415
I-unidadeGeotectonica,0.00022822365918600228,0.00016227180527383366,0.0002484163457955533
O,0.9080765817167491,0.9344421906693712,0.9326791702894051
