split,label,count,prop
train,B-ambienteSedimentacao,94,0.0008077336197636949
train,I-sedimentaresCarbonaticas,67,0.0005757250268528464
train,B-sedimentaresQuimicas,10,8.592910848549946e-05
train,B-sedimentaresCarbonaticas,256,0.0021997851772287864
train,B-era,291,0.0025005370569280345
train,B-estruturaSedimentar,64,0.0005499462943071966
train,I-metamorficas,36,0.0003093447905477981
train,I-estratigrafia,28,0.0002406015037593985
train,I-sistemaPetrolifero,26,0.0002234156820622986
train,B-epoca,460,0.003952738990332975
train,B-planctonico,69,0.0005929108485499463
train,B-magmaticas,415,0.0035660580021482278
train,I-estruturaSedimentar,76,0.0006530612244897959
train,I-unidadeGeotectonica,20,0.00017185821697099891
train,I-sedimentaresQuimicas,7,6.015037593984962e-05
train,I-mineral,2,1.7185821697099894e-05
train,I-sedimentaresSiliciclasticas,215,0.0018474758324382385
train,B-campoPetrolifero,4,3.437164339419979e-05
train,B-elementoQuimico,20,0.00017185821697099891
train,I-campoPetrolifero,4,3.437164339419979e-05
train,I-procedimentoMetodologico,6,5.1557465091299675e-05
train,I-baciaSedimentar,360,0.003093447905477981
train,I-estruturaGeologica,121,0.0010397422126745435
train,B-baciaSedimentar,399,0.0034285714285714284
train,B-contextoGeologicoDeBacia,465,0.003995703544575725
train,O,107909,0.9272524167561762
train,B-eon,168,0.001443609022556391
train,I-bentonico,7,6.015037593984962e-05
train,B-procedimentoMetodologico,121,0.0010397422126745435
train,B-granulometria,84,0.0007218045112781955
train,I-granulometria,9,7.733619763694952e-05
train,I-constituinteRochaSedimentar,20,0.00017185821697099891
train,B-sedimentaresOrganicas,17,0.00014607948442534909
train,I-periodo,7,6.015037593984962e-05
train,B-fosseis,95,0.0008163265306122449
train,I-idade,7,6.015037593984962e-05
train,B-sedimentaresSiliciclasticas,769,0.006607948442534909
train,B-geomorfologia,44,0.0003780880773361976
train,B-metamorficas,258,0.002216970998925886
train,B-unidadeEstratigrafica,549,0.004717508055853921
train,I-unidadeEstratigrafica,669,0.005748657357679914
train,B-sistemaPetrolifero,52,0.0004468313641245972
train,B-constituinteRochaSedimentar,75,0.0006444683136412459
train,B-idade,547,0.0047003222341568205
train,B-bentonico,20,0.00017185821697099891
train,I-ambienteSedimentacao,65,0.0005585392051557465
train,B-unidadeGeotectonica,19,0.00016326530612244898
train,B-estruturaGeologica,61,0.0005241675617615468
train,I-magmaticas,14,0.00012030075187969925
train,I-fosseis,39,0.0003351235230934479
train,I-era,10,8.592910848549946e-05
train,B-mineral,152,0.0013061224489795918
train,I-epoca,105,0.0009022556390977444
train,B-estratigrafia,178,0.0015295381310418904
train,B-periodo,510,0.0043823845327604725
train,I-contextoGeologicoDeBacia,275,0.002363050483351235
train,I-planctonico,5,4.296455424274973e-05
val,B-ambienteSedimentacao,13,0.0007822842700686004
val,I-sedimentaresCarbonaticas,12,0.0007221085569864003
val,B-sedimentaresQuimicas,1,6.0175713082200024e-05
val,B-sedimentaresCarbonaticas,31,0.0018654471055482007
val,B-era,44,0.002647731375616801
val,B-estruturaSedimentar,4,0.0002407028523288001
val,I-metamorficas,5,0.0003008785654110001
val,I-estratigrafia,5,0.0003008785654110001
val,I-sistemaPetrolifero,3,0.00018052713924660008
val,B-epoca,74,0.0044530027680828015
val,B-planctonico,5,0.0003008785654110001
val,B-magmaticas,55,0.003309664219521001
val,I-estruturaSedimentar,5,0.0003008785654110001
val,I-unidadeGeotectonica,5,0.0003008785654110001
val,I-sedimentaresQuimicas,1,6.0175713082200024e-05
val,I-mineral,0,0.0
val,I-sedimentaresSiliciclasticas,22,0.0013238656878084005
val,B-campoPetrolifero,0,0.0
val,B-elementoQuimico,5,0.0003008785654110001
val,I-campoPetrolifero,0,0.0
val,I-procedimentoMetodologico,0,0.0
val,I-baciaSedimentar,49,0.0029486099410278013
val,I-estruturaGeologica,6,0.00036105427849320016
val,B-baciaSedimentar,47,0.002828258514863401
val,B-contextoGeologicoDeBacia,60,0.0036105427849320013
val,O,15491,0.9321819713563606
val,B-eon,32,0.0019256228186304008
val,I-bentonico,1,6.0175713082200024e-05
val,B-procedimentoMetodologico,13,0.0007822842700686004
val,B-granulometria,15,0.0009026356962330003
val,I-granulometria,1,6.0175713082200024e-05
val,I-constituinteRochaSedimentar,2,0.00012035142616440005
val,B-sedimentaresOrganicas,2,0.00012035142616440005
val,I-periodo,2,0.00012035142616440005
val,B-fosseis,9,0.0005415814177398002
val,I-idade,9,0.0005415814177398002
val,B-sedimentaresSiliciclasticas,118,0.007100734143699603
val,B-geomorfologia,4,0.0002407028523288001
val,B-metamorficas,35,0.0021061499578770007
val,B-unidadeEstratigrafica,63,0.0037910699241786015
val,I-unidadeEstratigrafica,66,0.003971597063425201
val,B-sistemaPetrolifero,6,0.00036105427849320016
val,B-constituinteRochaSedimentar,15,0.0009026356962330003
val,B-idade,84,0.005054759898904802
val,B-bentonico,4,0.0002407028523288001
val,I-ambienteSedimentacao,12,0.0007221085569864003
val,B-unidadeGeotectonica,3,0.00018052713924660008
val,B-estruturaGeologica,3,0.00018052713924660008
val,I-magmaticas,1,6.0175713082200024e-05
val,I-fosseis,0,0.0
val,I-era,0,0.0
val,B-mineral,14,0.0008424599831508003
val,I-epoca,23,0.0013840414008906006
val,B-estratigrafia,24,0.0014442171139728006
val,B-periodo,80,0.004814057046576002
val,I-contextoGeologicoDeBacia,33,0.0019857985317126006
val,I-planctonico,1,6.0175713082200024e-05
test,B-ambienteSedimentacao,39,0.0011652574023723445
