label,test,train,val
B-ambienteSedimentacao,39,94,13
B-baciaSedimentar,105,399,47
B-bentonico,3,20,4
B-campoPetrolifero,2,4,0
B-constituinteRochaSedimentar,22,75,15
B-contextoGeologicoDeBacia,135,465,60
B-elementoQuimico,1,20,5
B-eon,56,168,32
B-epoca,152,460,74
B-era,79,291,44
B-estratigrafia,45,178,24
B-estruturaGeologica,14,61,3
B-estruturaSedimentar,16,64,4
B-fosseis,28,95,9
B-geomorfologia,6,44,4
B-granulometria,30,84,15
B-idade,165,547,84
B-magmaticas,108,415,55
B-metamorficas,84,258,35
B-mineral,46,152,14
B-periodo,121,510,80
B-planctonico,37,69,5
B-procedimentoMetodologico,32,121,13
B-sedimentaresCarbonaticas,68,256,31
B-sedimentaresOrganicas,3,17,2
B-sedimentaresQuimicas,1,10,1
B-sedimentaresSiliciclasticas,211,769,118
B-sistemaPetrolifero,35,52,6
B-unidadeEstratigrafica,150,549,63
B-unidadeGeotectonica,6,19,3
I-ambienteSedimentacao,24,65,12
I-baciaSedimentar,103,360,49
I-bentonico,0,7,1
I-campoPetrolifero,2,4,0
I-constituinteRochaSedimentar,1,20,2
I-contextoGeologicoDeBacia,73,275,33
I-epoca,43,105,23
I-era,1,10,0
I-estratigrafia,2,28,5
I-estruturaGeologica,19,121,6
I-estruturaSedimentar,15,76,5
I-fosseis,15,39,0
I-granulometria,6,9,1
I-idade,2,7,9
I-magmaticas,7,14,1
I-metamorficas,16,36,5
I-mineral,0,2,0
I-periodo,0,7,2
I-planctonico,4,5,1
I-procedimentoMetodologico,1,6,0
I-sedimentaresCarbonaticas,18,67,12
I-sedimentaresQuimicas,1,7,1
I-sedimentaresSiliciclasticas,37,215,22
I-sistemaPetrolifero,21,26,3
I-unidadeEstratigrafica,171,669,66
I-unidadeGeotectonica,6,20,5
O,31081,107909,15491
