label,test,train,val
B-ambienteSedimentacao,0.0011652574023723445,0.0008077336197636949,0.0007822842700686004
B-baciaSedimentar,0.0031372314679255432,0.0034285714285714284,0.002828258514863401
B-bentonico,8.963518479787266e-05,0.00017185821697099891,0.0002407028523288001
B-campoPetrolifero,5.975678986524844e-05,3.437164339419979e-05,0.0
B-constituinteRochaSedimentar,0.0006573246885177328,0.0006444683136412459,0.0009026356962330003
B-contextoGeologicoDeBacia,0.004033583315904269,0.003995703544575725,0.0036105427849320013
B-elementoQuimico,2.987839493262422e-05,0.00017185821697099891,0.0003008785654110001
B-eon,0.0016731901162269562,0.001443609022556391,0.0019256228186304008
B-epoca,0.004541516029758882,0.003952738990332975,0.0044530027680828015
B-era,0.0023603931996773134,0.0025005370569280345,0.002647731375616801
B-estratigrafia,0.0013445277719680898,0.0015295381310418904,0.0014442171139728006
B-estruturaGeologica,0.00041829752905673905,0.0005241675617615468,0.00018052713924660008
B-estruturaSedimentar,0.0004780543189219875,0.0005499462943071966,0.0002407028523288001
B-fosseis,0.0008365950581134781,0.0008163265306122449,0.0005415814177398002
B-geomorfologia,0.00017927036959574532,0.0003780880773361976,0.0002407028523288001
B-granulometria,0.0008963518479787266,0.0007218045112781955,0.0009026356962330003
B-idade,0.0049299351638829965,0.0047003222341568205,0.005054759898904802
B-magmaticas,0.003226866652723416,0.0035660580021482278,0.003309664219521001
B-metamorficas,0.0025097851743404345,0.002216970998925886,0.0021061499578770007
B-mineral,0.001374406166900714,0.0013061224489795918,0.0008424599831508003
B-periodo,0.0036152857868475305,0.0043823845327604725,0.004814057046576002
B-planctonico,0.0011055006125070962,0.0005929108485499463,0.0003008785654110001
B-procedimentoMetodologico,0.000956108637843975,0.0010397422126745435,0.0007822842700686004
B-sedimentaresCarbonaticas,0.002031730855418447,0.0021997851772287864,0.0018654471055482007
B-sedimentaresOrganicas,8.963518479787266e-05,0.00014607948442534909,0.00012035142616440005
B-sedimentaresQuimicas,2.987839493262422e-05,8.592910848549946e-05,6.0175713082200024e-05
B-sedimentaresSiliciclasticas,0.00630434133078371,0.006607948442534909,0.007100734143699603
B-sistemaPetrolifero,0.0010457438226418477,0.0004468313641245972,0.00036105427849320016
B-unidadeEstratigrafica,0.004481759239893633,0.004717508055853921,0.0037910699241786015
B-unidadeGeotectonica,0.00017927036959574532,0.00016326530612244898,0.00018052713924660008
I-ambienteSedimentacao,0.0007170814783829813,0.0005585392051557465,0.0007221085569864003
I-baciaSedimentar,0.0030774746780602947,0.003093447905477981,0.0029486099410278013
I-bentonico,0.0,6.015037593984962e-05,6.0175713082200024e-05
I-campoPetrolifero,5.975678986524844e-05,3.437164339419979e-05,0.0
I-constituinteRochaSedimentar,2.987839493262422e-05,0.00017185821697099891,0.00012035142616440005
I-contextoGeologicoDeBacia,0.002181122830081568,0.002363050483351235,0.0019857985317126006
I-epoca,0.0012847709821028415,0.0009022556390977444,0.0013840414008906006
I-era,2.987839493262422e-05,8.592910848549946e-05,0.0
I-estratigrafia,5.975678986524844e-05,0.0002406015037593985,0.0003008785654110001
I-estruturaGeologica,0.0005676895037198602,0.0010397422126745435,0.00036105427849320016
I-estruturaSedimentar,0.0004481759239893633,0.0006530612244897959,0.0003008785654110001
I-fosseis,0.0004481759239893633,0.0003351235230934479,0.0
I-granulometria,0.00017927036959574532,7.733619763694952e-05,6.0175713082200024e-05
I-idade,5.975678986524844e-05,6.015037593984962e-05,0.0005415814177398002
I-magmaticas,0.00020914876452836952,0.00012030075187969925,6.0175713082200024e-05
I-metamorficas,0.0004780543189219875,0.0003093447905477981,0.0003008785654110001
I-mineral,0.0,1.7185821697099894e-05,0.0
I-periodo,0.0,6.015037593984962e-05,0.00012035142616440005
I-planctonico,0.00011951357973049688,4.296455424274973e-05,6.0175713082200024e-05
I-procedimentoMetodologico,2.987839493262422e-05,5.1557465091299675e-05,0.0
I-sedimentaresCarbonaticas,0.000537811108787236,0.0005757250268528464,0.0007221085569864003
I-sedimentaresQuimicas,2.987839493262422e-05,6.015037593984962e-05,6.0175713082200024e-05
I-sedimentaresSiliciclasticas,0.0011055006125070962,0.0018474758324382385,0.0013238656878084005
I-sistemaPetrolifero,0.0006274462935851086,0.0002234156820622986,0.00018052713924660008
I-unidadeEstratigrafica,0.0051092055334787416,0.005748657357679914,0.003971597063425201
I-unidadeGeotectonica,0.00017927036959574532,0.00017185821697099891,0.0003008785654110001
O,0.9286503929008934,0.9272524167561762,0.9321819713563606
