split,label,count,prop
train,B-ambienteSedimentacao,101,0.000893876503438327
train,I-sedimentaresCarbonaticas,65,0.0005752670566682302
train,B-sedimentaresQuimicas,8,7.080209928224371e-05
train,B-sedimentaresCarbonaticas,248,0.0021948650777495553
train,I-estratigrafia,22,0.00019470577302617022
train,B-era,306,0.0027081802975458223
train,B-estruturaSedimentar,51,0.0004513633829243037
train,I-metamorficas,47,0.00041596233328318184
train,I-sistemaPetrolifero,30,0.00026550787230841393
train,B-epoca,471,0.004168473595242099
train,B-planctonico,79,0.0006991707304121567
train,B-magmaticas,392,0.003469302864829942
train,I-sedimentaresQuimicas,6,5.310157446168279e-05
train,I-unidadeGeotectonica,19,0.00016815498579532883
train,I-estruturaSedimentar,53,0.00046906390774486466
train,I-mineral,2,1.7700524820560928e-05
train,I-sedimentaresSiliciclasticas,183,0.0016195980210813251
train,B-campoPetrolifero,4,3.5401049641121856e-05
train,B-elementoQuimico,13,0.00011505341133364604
train,I-campoPetrolifero,4,3.5401049641121856e-05
train,I-procedimentoMetodologico,3,2.6550787230841396e-05
train,I-baciaSedimentar,357,0.003159543680470126
train,I-estruturaGeologica,91,0.0008053738793355223
train,B-baciaSedimentar,373,0.0033011478790346133
train,B-contextoGeologicoDeBacia,439,0.003885265198113124
train,O,104750,0.9270649874768787
train,B-eon,193,0.0017081006451841298
train,I-bentonico,6,5.310157446168279e-05
train,B-procedimentoMetodologico,107,0.0009469780779000097
train,B-granulometria,85,0.0007522723048738395
train,I-granulometria,10,8.850262410280465e-05
train,I-constituinteRochaSedimentar,12,0.00010620314892336558
train,B-sedimentaresOrganicas,16,0.00014160419856448742
train,I-periodo,6,5.310157446168279e-05
train,B-fosseis,87,0.0007699728296944005
train,I-idade,15,0.00013275393615420696
train,B-sedimentaresSiliciclasticas,752,0.0066553973325309095
train,B-metamorficas,298,0.0026373781982635784
train,B-geomorfologia,35,0.00030975918435981626
train,B-unidadeEstratigrafica,537,0.00475259091432061
train,I-unidadeEstratigrafica,630,0.0055756653184766925
train,B-sistemaPetrolifero,60,0.0005310157446168279
train,B-constituinteRochaSedimentar,58,0.000513315219796267
train,B-idade,547,0.004841093538423415
train,B-bentonico,22,0.00019470577302617022
train,I-ambienteSedimentacao,79,0.0006991707304121567
train,B-unidadeGeotectonica,17,0.0001504544609747679
train,B-estruturaGeologica,52,0.00046021364533458417
train,I-magmaticas,13,0.00011505341133364604
train,I-fosseis,30,0.00026550787230841393
train,I-era,7,6.195183687196325e-05
train,B-mineral,152,0.0013452398863626307
train,I-epoca,111,0.0009823791275411315
train,B-estratigrafia,160,0.0014160419856448744
train,B-periodo,501,0.004433981467550513
train,I-contextoGeologicoDeBacia,268,0.0023718703259551647
train,I-planctonico,8,7.080209928224371e-05
val,B-ambienteSedimentacao,14,0.0008467912659529426
val,I-sedimentaresCarbonaticas,11,0.0006653359946773121
val,B-sedimentaresQuimicas,2,0.00012097018085042038
val,B-sedimentaresCarbonaticas,38,0.0022984334361579872
val,I-estratigrafia,7,0.0004233956329764713
val,B-era,33,0.001996007984031936
val,B-estruturaSedimentar,7,0.0004233956329764713
val,I-metamorficas,4,0.00024194036170084075
val,I-sistemaPetrolifero,4,0.00024194036170084075
val,B-epoca,74,0.004475896691465554
val,B-planctonico,9,0.0005443658138268917
val,B-magmaticas,41,0.0024798887074336177
val,I-sedimentaresQuimicas,2,0.00012097018085042038
val,I-unidadeGeotectonica,5,0.00030242545212605095
val,I-estruturaSedimentar,9,0.0005443658138268917
val,I-mineral,0,0.0
val,I-sedimentaresSiliciclasticas,39,0.0023589185265831974
val,B-campoPetrolifero,1,6.048509042521019e-05
val,B-elementoQuimico,4,0.00024194036170084075
val,I-campoPetrolifero,0,0.0
val,I-procedimentoMetodologico,0,0.0
val,I-baciaSedimentar,51,0.0030847396116857194
val,I-estruturaGeologica,27,0.001633097441480675
val,B-baciaSedimentar,60,0.0036291054255126113
val,B-contextoGeologicoDeBacia,68,0.004112986148914292
val,O,15257,0.9228210246174318
val,B-eon,21,0.001270186898929414
val,I-bentonico,1,6.048509042521019e-05
val,B-procedimentoMetodologico,17,0.001028246537228573
val,B-granulometria,19,0.0011492167180789936
val,I-granulometria,3,0.00018145527127563056
val,I-constituinteRochaSedimentar,5,0.00030242545212605095
val,B-sedimentaresOrganicas,3,0.00018145527127563056
val,I-periodo,2,0.00012097018085042038
val,B-fosseis,20,0.0012097018085042038
val,I-idade,0,0.0
val,B-sedimentaresSiliciclasticas,124,0.007500151212726063
val,B-metamorficas,24,0.0014516421702050445
val,B-geomorfologia,7,0.0004233956329764713
val,B-unidadeEstratigrafica,80,0.004838807234016815
val,I-unidadeEstratigrafica,91,0.0055041432286941265
val,B-sistemaPetrolifero,6,0.0003629105425512611
val,B-constituinteRochaSedimentar,18,0.0010887316276537834
val,B-idade,84,0.005080747595717656
val,B-bentonico,3,0.00018145527127563056
val,I-ambienteSedimentacao,8,0.0004838807234016815
val,B-unidadeGeotectonica,4,0.00024194036170084075
val,B-estruturaGeologica,12,0.0007258210851025222
val,I-magmaticas,5,0.00030242545212605095
val,I-fosseis,11,0.0006653359946773121
val,I-era,3,0.00018145527127563056
val,B-mineral,19,0.0011492167180789936
val,I-epoca,25,0.0015121272606302546
val,B-estratigrafia,40,0.0024194036170084076
val,B-periodo,78,0.004717837053166395
val,I-contextoGeologicoDeBacia,33,0.001996007984031936
val,I-planctonico,0,0.0
test,B-ambienteSedimentacao,31,0.000839244138827224
test,I-sedimentaresCarbonaticas,21,0.0005685202230765066
test,B-sedimentaresQuimicas,2,5.4144783150143485e-05
test,B-sedimentaresCarbonaticas,69,0.0018679950186799503
test,I-estratigrafia,6,0.00016243434945043046
test,B-era,75,0.0020304293681303806
test,B-estruturaSedimentar,26,0.0007038821809518653
test,I-metamorficas,6,0.00016243434945043046
test,I-sistemaPetrolifero,16,0.0004331582652011479
test,B-epoca,141,0.0038172072120851155
test,B-planctonico,23,0.0006226650062266501
test,B-magmaticas,145,0.003925496778385403
