label,test,train,val
B-ambienteSedimentacao,31,101,14
B-baciaSedimentar,118,373,60
B-bentonico,2,22,3
B-campoPetrolifero,1,4,1
B-constituinteRochaSedimentar,36,58,18
B-contextoGeologicoDeBacia,153,439,68
B-elementoQuimico,9,13,4
B-eon,42,193,21
B-epoca,141,471,74
B-era,75,306,33
B-estratigrafia,47,160,40
B-estruturaGeologica,14,52,12
B-estruturaSedimentar,26,51,7
B-fosseis,25,87,20
B-geomorfologia,12,35,7
B-granulometria,25,85,19
B-idade,165,547,84
B-magmaticas,145,392,41
B-metamorficas,55,298,24
B-mineral,41,152,19
B-periodo,132,501,78
B-planctonico,23,79,9
B-procedimentoMetodologico,42,107,17
B-sedimentaresCarbonaticas,69,248,38
B-sedimentaresOrganicas,3,16,3
B-sedimentaresQuimicas,2,8,2
B-sedimentaresSiliciclasticas,222,752,124
B-sistemaPetrolifero,27,60,6
B-unidadeEstratigrafica,145,537,80
B-unidadeGeotectonica,7,17,4
I-ambienteSedimentacao,14,79,8
I-baciaSedimentar,104,357,51
I-bentonico,1,6,1
I-campoPetrolifero,2,4,0
I-constituinteRochaSedimentar,6,12,5
I-contextoGeologicoDeBacia,80,268,33
I-epoca,35,111,25
I-era,1,7,3
I-estratigrafia,6,22,7
I-estruturaGeologica,28,91,27
I-estruturaSedimentar,34,53,9
I-fosseis,13,30,11
I-granulometria,3,10,3
I-idade,3,15,0
I-magmaticas,4,13,5
I-metamorficas,6,47,4
I-mineral,0,2,0
I-periodo,1,6,2
I-planctonico,2,8,0
I-procedimentoMetodologico,4,3,0
I-sedimentaresCarbonaticas,21,65,11
I-sedimentaresQuimicas,1,6,2
I-sedimentaresSiliciclasticas,52,183,39
I-sistemaPetrolifero,16,30,4
I-unidadeEstratigrafica,185,630,91
I-unidadeGeotectonica,7,19,5
O,34474,104750,15257
