label,test,train,val
B-ambienteSedimentacao,0.000839244138827224,0.000893876503438327,0.0008467912659529426
B-baciaSedimentar,0.0031945422058584656,0.0033011478790346133,0.0036291054255126113
B-bentonico,5.4144783150143485e-05,0.00019470577302617022,0.00018145527127563056
B-campoPetrolifero,2.7072391575071743e-05,3.5401049641121856e-05,6.048509042521019e-05
B-constituinteRochaSedimentar,0.0009746060967025827,0.000513315219796267,0.0010887316276537834
B-contextoGeologicoDeBacia,0.004142075910985976,0.003885265198113124,0.004112986148914292
B-elementoQuimico,0.00024365152417564568,0.00011505341133364604,0.00024194036170084075
B-eon,0.0011370404461530132,0.0017081006451841298,0.001270186898929414
B-epoca,0.0038172072120851155,0.004168473595242099,0.004475896691465554
B-era,0.0020304293681303806,0.0027081802975458223,0.001996007984031936
B-estratigrafia,0.001272402404028372,0.0014160419856448744,0.0024194036170084076
B-estruturaGeologica,0.0003790134820510044,0.00046021364533458417,0.0007258210851025222
B-estruturaSedimentar,0.0007038821809518653,0.0004513633829243037,0.0004233956329764713
B-fosseis,0.0006768097893767935,0.0007699728296944005,0.0012097018085042038
B-geomorfologia,0.0003248686989008609,0.00030975918435981626,0.0004233956329764713
B-granulometria,0.0006768097893767935,0.0007522723048738395,0.0011492167180789936
B-idade,0.004466944609886838,0.004841093538423415,0.005080747595717656
B-magmaticas,0.003925496778385403,0.003469302864829942,0.0024798887074336177
B-metamorficas,0.0014889815366289458,0.0026373781982635784,0.0014516421702050445
B-mineral,0.0011099680545779414,0.0013452398863626307,0.0011492167180789936
B-periodo,0.00357355568790947,0.004433981467550513,0.004717837053166395
B-planctonico,0.0006226650062266501,0.0006991707304121567,0.0005443658138268917
B-procedimentoMetodologico,0.0011370404461530132,0.0009469780779000097,0.001028246537228573
B-sedimentaresCarbonaticas,0.0018679950186799503,0.0021948650777495553,0.0022984334361579872
B-sedimentaresOrganicas,8.121717472521523e-05,0.00014160419856448742,0.00018145527127563056
B-sedimentaresQuimicas,5.4144783150143485e-05,7.080209928224371e-05,0.00012097018085042038
B-sedimentaresSiliciclasticas,0.006010070929665927,0.0066553973325309095,0.007500151212726063
B-sistemaPetrolifero,0.000730954572526937,0.0005310157446168279,0.0003629105425512611
B-unidadeEstratigrafica,0.003925496778385403,0.00475259091432061,0.004838807234016815
B-unidadeGeotectonica,0.0001895067410255022,0.0001504544609747679,0.00024194036170084075
I-ambienteSedimentacao,0.0003790134820510044,0.0006991707304121567,0.0004838807234016815
I-baciaSedimentar,0.0028155287238074613,0.003159543680470126,0.0030847396116857194
I-bentonico,2.7072391575071743e-05,5.310157446168279e-05,6.048509042521019e-05
I-campoPetrolifero,5.4144783150143485e-05,3.5401049641121856e-05,0.0
I-constituinteRochaSedimentar,0.00016243434945043046,0.00010620314892336558,0.00030242545212605095
I-contextoGeologicoDeBacia,0.002165791326005739,0.0023718703259551647,0.001996007984031936
I-epoca,0.0009475337051275109,0.0009823791275411315,0.0015121272606302546
I-era,2.7072391575071743e-05,6.195183687196325e-05,0.00018145527127563056
I-estratigrafia,0.00016243434945043046,0.00019470577302617022,0.0004233956329764713
I-estruturaGeologica,0.0007580269641020088,0.0008053738793355223,0.001633097441480675
I-estruturaSedimentar,0.0009204613135524392,0.00046906390774486466,0.0005443658138268917
I-fosseis,0.00035194109047593266,0.00026550787230841393,0.0006653359946773121
I-granulometria,8.121717472521523e-05,8.850262410280465e-05,0.00018145527127563056
I-idade,8.121717472521523e-05,0.00013275393615420696,0.0
I-magmaticas,0.00010828956630028697,0.00011505341133364604,0.00030242545212605095
I-metamorficas,0.00016243434945043046,0.00041596233328318184,0.00024194036170084075
I-mineral,0.0,1.7700524820560928e-05,0.0
I-periodo,2.7072391575071743e-05,5.310157446168279e-05,0.00012097018085042038
I-planctonico,5.4144783150143485e-05,7.080209928224371e-05,0.0
I-procedimentoMetodologico,0.00010828956630028697,2.6550787230841396e-05,0.0
I-sedimentaresCarbonaticas,0.0005685202230765066,0.0005752670566682302,0.0006653359946773121
I-sedimentaresQuimicas,2.7072391575071743e-05,5.310157446168279e-05,0.00012097018085042038
I-sedimentaresSiliciclasticas,0.0014077643619037307,0.0016195980210813251,0.0023589185265831974
I-sistemaPetrolifero,0.0004331582652011479,0.00026550787230841393,0.00024194036170084075
I-unidadeEstratigrafica,0.005008392441388272,0.0055756653184766925,0.0055041432286941265
I-unidadeGeotectonica,0.0001895067410255022,0.00016815498579532883,0.00030242545212605095
O,0.9332936271590232,0.9270649874768787,0.9228210246174318
