split,label,count,prop
train,B-ambienteSedimentacao,134,0.00105954818967494
train,I-sedimentaresCarbonaticas,76,0.0006009377792186227
train,B-sedimentaresQuimicas,9,7.11636843811527e-05
train,B-estruturaSedimentar,77,0.000608844855260973
train,B-era,307,0.002427472345001542
train,I-estratigrafia,33,0.00026093350939755986
train,B-sedimentaresCarbonaticas,281,0.002221888367900434
train,I-metamorficas,39,0.00030837596565166166
train,I-sistemaPetrolifero,30,0.000237212281270509
train,B-epoca,556,0.004396334279546767
train,B-planctonico,88,0.0006958226917268263
train,B-magmaticas,426,0.0033684143940412273
train,I-estruturaSedimentar,86,0.0006800085396421258
train,I-unidadeGeotectonica,27,0.0002134910531434581
train,I-mineral,2,1.5814152084700598e-05
train,B-campoPetrolifero,3,2.37212281270509e-05
train,I-sedimentaresSiliciclasticas,229,0.0018107204136982185
train,I-campoPetrolifero,4,3.1628304169401197e-05
train,B-elementoQuimico,15,0.0001186061406352545
train,I-sedimentaresQuimicas,8,6.325660833880239e-05
train,I-procedimentoMetodologico,5,3.9535380211751494e-05
train,I-estruturaGeologica,121,0.0009567562011243863
train,I-baciaSedimentar,483,0.0038191177284551945
train,B-baciaSedimentar,480,0.003795396500328144
train,B-contextoGeologicoDeBacia,520,0.0041116795420221555
train,O,116631,0.9222101858953577
train,B-eon,209,0.0016525788928512125
train,I-bentonico,6,4.74424562541018e-05
train,B-procedimentoMetodologico,126,0.0009962915813361377
train,B-granulometria,99,0.0007828005281926796
train,I-granulometria,15,0.0001186061406352545
train,I-constituinteRochaSedimentar,21,0.0001660485968893563
train,B-sedimentaresOrganicas,19,0.00015023444480465569
train,I-periodo,7,5.5349532296452096e-05
train,B-fosseis,121,0.0009567562011243863
train,I-idade,13,0.00010279198855055389
train,B-sedimentaresSiliciclasticas,897,0.007092647209988218
train,B-metamorficas,260,0.0020558397710110777
train,B-geomorfologia,41,0.0003241901177363623
train,B-unidadeEstratigrafica,656,0.005187041883781797
train,I-unidadeEstratigrafica,787,0.006222868845329686
train,B-sistemaPetrolifero,60,0.000474424562541018
train,B-constituinteRochaSedimentar,105,0.0008302429844467814
train,B-idade,636,0.00502890036293479
train,B-bentonico,16,0.00012651321667760479
train,I-ambienteSedimentacao,97,0.0007669863761079791
train,B-unidadeGeotectonica,24,0.0001897698250164072
train,B-estruturaGeologica,64,0.0005060528667104191
train,I-magmaticas,17,0.00013442029271995508
train,I-fosseis,52,0.00041116795420221555
train,I-era,8,6.325660833880239e-05
train,B-mineral,166,0.0013125746230301498
train,I-epoca,141,0.0011148977219713923
train,B-estratigrafia,208,0.0016446718168088622
train,B-periodo,577,0.004562382876436123
train,I-contextoGeologicoDeBacia,345,0.002727941234610853
train,I-planctonico,6,4.74424562541018e-05
val,B-ambienteSedimentacao,6,0.00046307015512850195
val,I-sedimentaresCarbonaticas,8,0.0006174268735046693
val,B-sedimentaresQuimicas,1,7.717835918808367e-05
val,B-estruturaSedimentar,5,0.0003858917959404183
val,B-era,44,0.0033958478042756812
val,I-estratigrafia,2,0.00015435671837616733
val,B-sedimentaresCarbonaticas,38,0.0029327776491471793
val,I-metamorficas,7,0.0005402485143165856
val,I-sistemaPetrolifero,2,0.00015435671837616733
val,B-epoca,7,0.0005402485143165856
val,B-planctonico,0,0.0
val,B-magmaticas,26,0.0020066373388901754
val,I-estruturaSedimentar,9,0.0006946052326927529
val,I-unidadeGeotectonica,1,7.717835918808367e-05
val,I-mineral,0,0.0
val,B-campoPetrolifero,0,0.0
val,I-sedimentaresSiliciclasticas,32,0.0024697074940186773
val,I-campoPetrolifero,0,0.0
val,B-elementoQuimico,4,0.00030871343675233467
val,I-sedimentaresQuimicas,1,7.717835918808367e-05
val,I-procedimentoMetodologico,0,0.0
val,I-estruturaGeologica,23,0.0017751022613259242
val,I-baciaSedimentar,9,0.0006946052326927529
val,B-baciaSedimentar,19,0.0014663888245735896
val,B-contextoGeologicoDeBacia,40,0.0030871343675233465
val,O,12280,0.9477502508296674
val,B-eon,18,0.0013892104653855058
val,I-bentonico,0,0.0
val,B-procedimentoMetodologico,9,0.0006946052326927529
val,B-granulometria,5,0.0003858917959404183
val,I-granulometria,0,0.0
