label,test,train,val
B-ambienteSedimentacao,6,134,6
B-baciaSedimentar,52,480,19
B-bentonico,11,16,0
B-campoPetrolifero,3,3,0
B-constituinteRochaSedimentar,3,105,4
B-contextoGeologicoDeBacia,100,520,40
B-elementoQuimico,7,15,4
B-eon,29,209,18
B-epoca,123,556,7
B-era,63,307,44
B-estratigrafia,20,208,19
B-estruturaGeologica,3,64,11
B-estruturaSedimentar,2,77,5
B-fosseis,4,121,7
B-geomorfologia,11,41,2
B-granulometria,25,99,5
B-idade,155,636,5
B-magmaticas,126,426,26
B-metamorficas,88,260,29
B-mineral,27,166,19
B-periodo,103,577,31
B-planctonico,23,88,0
B-procedimentoMetodologico,31,126,9
B-sedimentaresCarbonaticas,36,281,38
B-sedimentaresOrganicas,1,19,2
B-sedimentaresQuimicas,2,9,1
B-sedimentaresSiliciclasticas,112,897,89
B-sistemaPetrolifero,25,60,8
B-unidadeEstratigrafica,54,656,52
B-unidadeGeotectonica,3,24,1
I-ambienteSedimentacao,1,97,3
I-baciaSedimentar,20,483,9
I-bentonico,2,6,0
I-campoPetrolifero,2,4,0
I-constituinteRochaSedimentar,0,21,2
I-contextoGeologicoDeBacia,29,345,7
I-epoca,29,141,1
I-era,1,8,2
I-estratigrafia,0,33,2
I-estruturaGeologica,2,121,23
I-estruturaSedimentar,1,86,9
I-fosseis,1,52,1
I-granulometria,1,15,0
I-idade,2,13,3
I-magmaticas,4,17,1
I-metamorficas,11,39,7
I-mineral,0,2,0
I-periodo,1,7,1
I-planctonico,4,6,0
I-procedimentoMetodologico,2,5,0
I-sedimentaresCarbonaticas,13,76,8
I-sedimentaresQuimicas,0,8,1
I-sedimentaresSiliciclasticas,13,229,32
I-sistemaPetrolifero,18,30,2
I-unidadeEstratigrafica,58,787,61
I-unidadeGeotectonica,3,27,1
O,25570,116631,12280
