label,test,train,val
B-ambienteSedimentacao,0.00022192632046160674,0.00105954818967494,0.00046307015512850195
B-baciaSedimentar,0.0019233614440005919,0.003795396500328144,0.0014663888245735896
B-bentonico,0.00040686492084627906,0.00012651321667760479,0.0
B-campoPetrolifero,0.00011096316023080337,2.37212281270509e-05,0.0
B-constituinteRochaSedimentar,0.00011096316023080337,0.0008302429844467814,0.00030871343675233467
B-contextoGeologicoDeBacia,0.0036987720076934456,0.0041116795420221555,0.0030871343675233465
B-elementoQuimico,0.00025891404053854123,0.0001186061406352545,0.00030871343675233467
B-eon,0.0010726438822310992,0.0016525788928512125,0.0013892104653855058
B-epoca,0.004549489569462938,0.004396334279546767,0.0005402485143165856
B-era,0.002330226364846871,0.002427472345001542,0.0033958478042756812
B-estratigrafia,0.0007397544015386891,0.0016446718168088622,0.0014663888245735896
B-estruturaGeologica,0.00011096316023080337,0.0005060528667104191,0.0008489619510689203
B-estruturaSedimentar,7.397544015386891e-05,0.000608844855260973,0.0003858917959404183
B-fosseis,0.00014795088030773783,0.0009567562011243863,0.0005402485143165856
B-geomorfologia,0.00040686492084627906,0.0003241901177363623,0.00015435671837616733
B-granulometria,0.0009246930019233614,0.0007828005281926796,0.0003858917959404183
B-idade,0.005733096611924841,0.00502890036293479,0.0003858917959404183
B-magmaticas,0.004660452729693742,0.0033684143940412273,0.0020066373388901754
B-metamorficas,0.0032549193667702325,0.0020558397710110777,0.002238172416454426
B-mineral,0.0009986684420772304,0.0013125746230301498,0.0014663888245735896
B-periodo,0.003809735167924249,0.004562382876436123,0.0023925291348305933
B-planctonico,0.0008507175617694925,0.0006958226917268263,0.0
B-procedimentoMetodologico,0.001146619322384968,0.0009962915813361377,0.0006946052326927529
B-sedimentaresCarbonaticas,0.0013315579227696406,0.002221888367900434,0.0029327776491471793
B-sedimentaresOrganicas,3.698772007693446e-05,0.00015023444480465569,0.00015435671837616733
B-sedimentaresQuimicas,7.397544015386891e-05,7.11636843811527e-05,7.717835918808367e-05
B-sedimentaresSiliciclasticas,0.00414262464861666,0.007092647209988218,0.006868873967739446
B-sistemaPetrolifero,0.0009246930019233614,0.000474424562541018,0.0006174268735046693
B-unidadeEstratigrafica,0.0019973368841544607,0.005187041883781797,0.004013274677780351
B-unidadeGeotectonica,0.00011096316023080337,0.0001897698250164072,7.717835918808367e-05
I-ambienteSedimentacao,3.698772007693446e-05,0.0007669863761079791,0.00023153507756425097
I-baciaSedimentar,0.0007397544015386891,0.0038191177284551945,0.0006946052326927529
I-bentonico,7.397544015386891e-05,4.74424562541018e-05,0.0
I-campoPetrolifero,7.397544015386891e-05,3.1628304169401197e-05,0.0
I-constituinteRochaSedimentar,0.0,0.0001660485968893563,0.00015435671837616733
I-contextoGeologicoDeBacia,0.0010726438822310992,0.002727941234610853,0.0005402485143165856
I-epoca,0.0010726438822310992,0.0011148977219713923,7.717835918808367e-05
I-era,3.698772007693446e-05,6.325660833880239e-05,0.00015435671837616733
I-estratigrafia,0.0,0.00026093350939755986,0.00015435671837616733
I-estruturaGeologica,7.397544015386891e-05,0.0009567562011243863,0.0017751022613259242
I-estruturaSedimentar,3.698772007693446e-05,0.0006800085396421258,0.0006946052326927529
I-fosseis,3.698772007693446e-05,0.00041116795420221555,7.717835918808367e-05
I-granulometria,3.698772007693446e-05,0.0001186061406352545,0.0
I-idade,7.397544015386891e-05,0.00010279198855055389,0.00023153507756425097
I-magmaticas,0.00014795088030773783,0.00013442029271995508,7.717835918808367e-05
I-metamorficas,0.00040686492084627906,0.00030837596565166166,0.0005402485143165856
I-mineral,0.0,1.5814152084700598e-05,0.0
I-periodo,3.698772007693446e-05,5.5349532296452096e-05,7.717835918808367e-05
I-planctonico,0.00014795088030773783,4.74424562541018e-05,0.0
I-procedimentoMetodologico,7.397544015386891e-05,3.9535380211751494e-05,0.0
I-sedimentaresCarbonaticas,0.00048084036100014797,0.0006009377792186227,0.0006174268735046693
I-sedimentaresQuimicas,0.0,6.325660833880239e-05,7.717835918808367e-05
I-sedimentaresSiliciclasticas,0.00048084036100014797,0.0018107204136982185,0.0024697074940186773
I-sistemaPetrolifero,0.0006657789613848203,0.000237212281270509,0.00015435671837616733
I-unidadeEstratigrafica,0.0021452877644621985,0.006222868845329686,0.004707879910473103
I-unidadeGeotectonica,0.00011096316023080337,0.0002134910531434581,7.717835918808367e-05
O,0.945776002367214,0.9222101858953577,0.9477502508296674
