split,label,count,prop
train,B-ambienteSedimentacao,12,0.00012565971349585322
train,I-sedimentaresCarbonaticas,12,0.00012565971349585322
train,B-sedimentaresCarbonaticas,123,0.0012880120633324956
train,B-era,209,0.0021885733433861104
train,I-metamorficas,16,0.00016754628466113765
train,I-estratigrafia,7,7.330149953924772e-05
train,B-estruturaSedimentar,4,4.188657116528441e-05
train,I-sistemaPetrolifero,12,0.00012565971349585322
train,B-epoca,354,0.0037069615481276704
train,B-planctonico,44,0.0004607522828181285
train,B-magmaticas,264,0.002764513696908771
train,I-estruturaSedimentar,2,2.0943285582642206e-05
train,I-unidadeGeotectonica,1,1.0471642791321103e-05
train,B-campoPetrolifero,1,1.0471642791321103e-05
train,I-sedimentaresSiliciclasticas,32,0.0003350925693222753
train,B-elementoQuimico,6,6.282985674792661e-05
train,I-baciaSedimentar,72,0.0007539582809751194
train,I-estruturaGeologica,4,4.188657116528441e-05
train,B-baciaSedimentar,177,0.0018534807740638352
train,B-contextoGeologicoDeBacia,260,0.002722627125743487
train,O,91755,0.9608255843176677
train,B-eon,122,0.0012775404205411746
train,B-procedimentoMetodologico,82,0.0008586747088883304
train,B-granulometria,18,0.00018848957024377984
train,I-granulometria,1,1.0471642791321103e-05
train,B-sedimentaresOrganicas,3,3.1414928373963304e-05
train,I-periodo,1,1.0471642791321103e-05
train,B-fosseis,15,0.00015707464186981654
train,I-idade,3,3.1414928373963304e-05
train,B-sedimentaresSiliciclasticas,365,0.0038221496188322024
train,B-metamorficas,150,0.0015707464186981654
train,B-geomorfologia,10,0.00010471642791321103
train,I-unidadeEstratigrafica,127,0.00132989863449778
train,B-unidadeEstratigrafica,137,0.001434615062410991
train,B-sistemaPetrolifero,29,0.000303677640948312
train,B-constituinteRochaSedimentar,30,0.0003141492837396331
train,B-idade,344,0.003602245120214459
train,I-ambienteSedimentacao,2,2.0943285582642206e-05
train,I-magmaticas,5,5.2358213956605514e-05
train,B-estruturaGeologica,3,3.1414928373963304e-05
train,B-unidadeGeotectonica,1,1.0471642791321103e-05
train,I-era,4,4.188657116528441e-05
train,B-mineral,82,0.0008586747088883304
train,I-epoca,59,0.0006178269246879451
train,B-estratigrafia,98,0.001026220993549468
train,B-periodo,378,0.0039582809751193765
train,I-contextoGeologicoDeBacia,58,0.000607355281896624
train,I-planctonico,2,2.0943285582642206e-05
train,B-bentonico,0,0.0
train,B-sedimentaresQuimicas,0,0.0
train,I-bentonico,0,0.0
train,I-campoPetrolifero,0,0.0
train,I-constituinteRochaSedimentar,0,0.0
train,I-fosseis,0,0.0
train,I-mineral,0,0.0
train,I-procedimentoMetodologico,0,0.0
train,I-sedimentaresQuimicas,0,0.0
val,B-ambienteSedimentacao,22,0.0010613150658497757
val,I-sedimentaresCarbonaticas,14,0.0006753823146316754
val,B-sedimentaresCarbonaticas,51,0.002460321289015389
val,B-era,82,0.003955810699985528
val,I-metamorficas,13,0.0006271407207294129
val,I-estratigrafia,0,0.0
val,B-estruturaSedimentar,6,0.0002894495634135752
val,I-sistemaPetrolifero,20,0.0009648318780452506
val,B-epoca,108,0.005210092141444353
val,B-planctonico,18,0.0008683486902407256
val,B-magmaticas,67,0.0032321867914515898
val,I-estruturaSedimentar,6,0.0002894495634135752
val,I-unidadeGeotectonica,2,9.648318780452506e-05
val,B-campoPetrolifero,0,0.0
val,I-sedimentaresSiliciclasticas,18,0.0008683486902407256
val,B-elementoQuimico,3,0.0001447247817067876
val,I-baciaSedimentar,53,0.002556804476819914
val,I-estruturaGeologica,8,0.0003859327512181002
val,B-baciaSedimentar,67,0.0032321867914515898
val,B-contextoGeologicoDeBacia,78,0.0037628443243764775
val,O,19055,0.9192435718076125
val,B-eon,56,0.0027015292585267016
val,B-procedimentoMetodologico,23,0.0011095566597520382
val,B-granulometria,25,0.0012060398475565632
val,I-granulometria,2,9.648318780452506e-05
val,B-sedimentaresOrganicas,1,4.824159390226253e-05
val,I-periodo,0,0.0
val,B-fosseis,21,0.0010130734719475132
val,I-idade,6,0.0002894495634135752
val,B-sedimentaresSiliciclasticas,152,0.007332722273143905
val,B-metamorficas,51,0.002460321289015389
val,B-geomorfologia,18,0.0008683486902407256
val,I-unidadeEstratigrafica,103,0.0049688841719330405
val,B-unidadeEstratigrafica,87,0.00419701866949684
val,B-sistemaPetrolifero,29,0.0013990062231656133
val,B-constituinteRochaSedimentar,26,0.0012542814414588258
val,B-idade,133,0.006416131989000917
val,I-ambienteSedimentacao,11,0.0005306575329248878
val,I-magmaticas,4,0.0001929663756090501
val,B-estruturaGeologica,5,0.00024120796951131266
