label,test,train,val
B-ambienteSedimentacao,112,12,22
B-baciaSedimentar,307,177,67
B-bentonico,27,0,0
B-campoPetrolifero,5,1,0
B-constituinteRochaSedimentar,56,30,26
B-contextoGeologicoDeBacia,322,260,78
B-elementoQuimico,17,6,3
B-eon,78,122,56
B-epoca,224,354,108
B-era,123,209,82
B-estratigrafia,113,98,36
B-estruturaGeologica,70,3,5
B-estruturaSedimentar,74,4,6
B-fosseis,96,15,21
B-geomorfologia,26,10,18
B-granulometria,86,18,25
B-idade,319,344,133
B-magmaticas,247,264,67
B-metamorficas,176,150,51
B-mineral,100,82,30
B-periodo,207,378,126
B-planctonico,49,44,18
B-procedimentoMetodologico,61,82,23
B-sedimentaresCarbonaticas,181,123,51
B-sedimentaresOrganicas,18,3,1
B-sedimentaresQuimicas,11,0,1
B-sedimentaresSiliciclasticas,581,365,152
B-sistemaPetrolifero,35,29,29
B-unidadeEstratigrafica,538,137,87
B-unidadeGeotectonica,25,1,2
I-ambienteSedimentacao,88,2,11
I-baciaSedimentar,387,72,53
I-bentonico,8,0,0
I-campoPetrolifero,6,0,0
I-constituinteRochaSedimentar,17,0,6
I-contextoGeologicoDeBacia,290,58,33
I-epoca,72,59,40
I-era,6,4,1
I-estratigrafia,28,7,0
I-estruturaGeologica,134,4,8
I-estruturaSedimentar,88,2,6
I-fosseis,49,0,5
I-granulometria,13,1,2
I-idade,9,3,6
I-magmaticas,13,5,4
I-metamorficas,28,16,13
I-mineral,2,0,0
I-periodo,8,1,0
I-planctonico,5,2,3
I-procedimentoMetodologico,5,0,2
I-sedimentaresCarbonaticas,71,12,14
I-sedimentaresQuimicas,9,0,0
I-sedimentaresSiliciclasticas,224,32,18
I-sistemaPetrolifero,18,12,20
I-unidadeEstratigrafica,676,127,103
I-unidadeGeotectonica,28,1,2
O,43671,91755,19055
